benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Avg,0.2839259208817778,0.012907582725496233,0.3484557606768701,0.0117370615627444,0.26994073569659266,0.013216326688643046,4.857416668130544,0.2855487926440142,0.3673308221610526,0.008455090359974094,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,BayPIRE,0.02096986645435504,0.0053680260429821176,0.025835874358213162,0.005616815872900049,0.014640559786695807,0.007996241013315633,0.33897412285208994,0.01421909727785099,0.09269173650646748,0.005580332822543102,1.0,1.0,0.0,0.23268303481067573,0.017847033972982772,0.23246388375112687,0.018025326401840867,1.0,0.0,0.2522751851851851,0.01656599564486036,0.2526296296296295,0.01655260466607949,1.0,0.0,0.092586610456424,0.003505221099877983,1.0,0.0,0.09298666666666672,0.0028895559270008895
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Bayes-MAP,0.07570249886431613,0.004781659608938004,0.09362590666392417,0.0041812987557151935,0.059403536662686815,0.005466147700109659,0.5403724283082338,0.005350059709290632,0.1779936591573391,0.002709696944595138,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,PE-Rasch,0.12845130440042313,0.012945860414942209,0.1654712627949051,0.013154487965416921,0.11188415717870477,0.013577163319996479,0.470031125075096,0.04035041300736317,0.1325018308098772,0.011258085148914462,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Avg,0.2040833320524445,0.016811880196721696,0.24084133470576446,0.01931500386311895,0.18956481353392596,0.016290461694260155,1.7711529442594034,0.32208868749400055,0.3040310102485496,0.009687164498790314,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,BayPIRE,0.01746592257012606,0.0025669488629952567,0.02175577825996163,0.0029316288840305097,0.013300309866409968,0.003484997024845737,0.24097511342330308,0.009590682256110563,0.06548716666864944,0.00358548035789643,1.0,0.9869999999999999,0.024517567397911045,0.11886882408875839,0.017971596559844503,0.11879858517408895,0.017975652075848253,0.998,0.004216370213557843,0.14490111111111106,0.01577924883499454,0.1444629629629629,0.01717346742912151,1.0,0.0,0.050792992479343324,0.002413576155785275,1.0,0.0,0.05147074074074073,0.0025245004002763306
mmlu:anatomy,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Bayes-MAP,0.06917540308326463,0.006346056992689225,0.083267029684027,0.007039254658640512,0.053951217225192506,0.005961697206079116,0.44446832960225535,0.006191366671982261,0.1346205675270264,0.0031010391859783806,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,PE-Rasch,0.0754962995202972,0.012933374594786023,0.1105456571252619,0.013960059867447768,0.05942149787611193,0.012911505810197609,0.387722922179538,0.04412483034089915,0.09706044932561424,0.01057348364278849,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,Avg,0.13925462948851852,0.012375144025083015,0.17322599926685828,0.012206864669956435,0.12607685171074076,0.012199010741677415,0.8723996825760855,0.07165093032636204,0.27609313470078745,0.004713366344382882,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,BayPIRE,0.0161871753407102,0.0009151480397231187,0.020095356774668248,0.0011150982579969115,0.011243196808378158,0.0014579376049295794,0.19796702547445572,0.006336042522297338,0.05627739197264311,0.001857563103907485,1.0,0.9480000000000001,0.04661902329879224,0.08458070087083558,0.014399113054850586,0.08438379374287212,0.014379387947262625,0.9970000000000001,0.004830458915396508,0.11349759259259258,0.01105685460345723,0.11261111111111113,0.01092869812079441,1.0,0.0,0.03208431716786515,0.0009299748468560849,1.0,0.0,0.033032962962963,0.0008614771114751632
