benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Avg,100,135,200,13500,0.2730518473,0.33684677866534246,0.2559111065592593,4.375875038093192,0.358722407954386,0.42653476980215965,0.14908333333333337,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,PE-Rasch,100,135,200,13500,0.1334975362916055,0.1713064018125385,0.11914963092767268,0.5788810143909382,0.1705528155111003,0.02906115130000642,0.0017692265255244916,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Bayes-MAP,100,135,200,13500,0.06568660960974024,0.07740007785194596,0.049167214709043845,0.5534997986894333,0.1846617308483455,0.3898428765960337,0.10956424291053546,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,98.77867289224335,0.0007897192129414039,0.46235789460122817,0.3187200419271747,0.48533363734729823,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,BayPIRE,100,135,200,13500,0.016328243086371916,0.0205866834807839,0.009630047215980476,0.4086090353880097,0.12622092943750854,0.2412049918864042,0.05719100390037016,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1865.0,0.0,1000.0,1000.0,4.0,0.97,0.798,0.361,2.96,1.0,0.23153180565110446,0.23128079921301584,1.0,0.2535277777777777,0.2518518518518519,1.0,0.11971351874907166,1.0,0.11955925925925925
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Avg,100,135,200,13500,0.25297221816444454,0.32056521689671585,0.24024629223851857,4.000255780097515,0.3477362022561403,0.45063764022820024,0.15716666666666668,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,PE-Rasch,100,135,200,13500,0.12247110049771778,0.1536975761246431,0.1119972609070174,0.5355169566315967,0.16054350930205474,0.024880641356236573,0.0011875157086367518,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Bayes-MAP,100,135,200,13500,0.054075318439558,0.06639074341541859,0.040419836120914224,0.547501426491878,0.18132233307143045,0.37818562741455525,0.10342490337327533,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,97.61653425403155,0.001019127169727345,0.3626511229855841,0.3016543598945353,0.5107082995613801,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,BayPIRE,100,135,200,13500,0.017054269804725096,0.021015816035656776,0.013426633749197451,0.4018156080004623,0.12351985827116368,0.20002232242655008,0.04280757213254754,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,2158.0,0.0,1000.0,1000.0,4.0,0.97,0.745,0.355,3.314,1.0,0.2099877998922793,0.21076114642199326,1.0,0.23167407407407392,0.2297222222222217,1.0,0.11497819978808288,1.0,0.11549814814814807
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Avg,100,135,200,13500,0.26427406992592595,0.3345376753526484,0.25258147733333336,4.1940807647614005,0.35722273399599,0.4123112804467279,0.14416666666666667,0.014814814814814815,0.82,0.8,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,PE-Rasch,100,135,200,13500,0.12488578851106945,0.16029218067703585,0.113021445758923,0.5432926016951246,0.15954609110308535,0.02247961133584286,0.0008234944746514917,0.014814814814814815,0.82,0.8,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
