benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Avg,0.2857894685624999,0.01541917724870773,0.34488811236946826,0.013771663766748102,0.2683157843519737,0.014859044174984756,4.791085731385406,0.32986275366477186,0.3622433284934667,0.009795464051819398,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,BayPIRE,0.024064273750070912,0.0040986009511172275,0.029261081754440633,0.004663899624340497,0.013501216035682304,0.007468241814653174,0.399496228207746,0.017552280774490347,0.11634397078544649,0.007180504648113427,1.0,1.0,0.0,0.2942272356963166,0.03701441941919484,0.2933439202944985,0.036399400010588674,1.0,0.0,0.31026184210526303,0.03590267457968072,0.30988486842105256,0.03500164624393149,1.0,0.0,0.09926514910473792,0.0037294917502636482,1.0,0.0,0.0997884868421052,0.0030763341072634585
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Bayes-MAP,0.07629030580941804,0.0036403093242478035,0.09402699141002734,0.0037257658737348256,0.05751354103336274,0.003928303542453771,0.559596453983881,0.005376626590638736,0.18722251702160966,0.002758798416292633,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,PE-Rasch,0.1452836421811925,0.012222404467877477,0.1831578328763061,0.012198129269539334,0.12623571691582006,0.012051298521594343,0.5654951300021736,0.02999983772771196,0.16058766520257467,0.00948658531987912,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Avg,0.19953947228210522,0.010354407454412563,0.2382448055590137,0.012508386933045984,0.18223684070315788,0.010100344693046846,1.8198963351762216,0.21786625500194856,0.2998783771027027,0.006256767067019911,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,BayPIRE,0.022133852861781853,0.004967148709135282,0.026643938675322453,0.005558286937751245,0.01682414970400111,0.006613481340343815,0.30055944814197944,0.011317755034555699,0.08518338015291148,0.004174074810969388,1.0,0.991,0.015238839267549957,0.14895882406648667,0.019818012982373033,0.14872553780062375,0.019853229544067232,0.999,0.0031622776601683816,0.170997697368421,0.017351854805446255,0.17044407894736824,0.018198624823430657,0.9,0.31622776601683794,0.056693295666617724,0.0025193465944716156,0.9,0.31622776601683794,0.05758700657894732,0.002918142583676788
mmlu:astronomy,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Bayes-MAP,0.07119379596642834,0.006032430077492136,0.08794328333638221,0.006559893100925658,0.05313482552732053,0.005891939240173569,0.47952669843461415,0.007048587747946162,0.15066696771612728,0.0035346436170848525,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,PE-Rasch,0.10121125588848004,0.015589835165120075,0.13936451295341182,0.017668495120773904,0.08345898129971,0.014762010937798158,0.543062150428639,0.058492118055234237,0.13189533812072518,0.011621195444582925,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,Avg,0.1374539472263158,0.007689463942363865,0.16873057741606848,0.009728388089387644,0.12175657880526317,0.008394056741956216,0.8491059785446439,0.07878015797842101,0.2716770832076389,0.003632749463089386,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,BayPIRE,0.018695019775387088,0.0010477307626355766,0.022330993872962814,0.0010159034273184084,0.013081145112297698,0.0014427354518801948,0.25226622068186233,0.004996047358773161,0.0729559598383149,0.0011487220628120596,1.0,0.9640000000000001,0.02319003617456815,0.09926558258252403,0.014489062288582953,0.0993598916831035,0.014567282144967069,0.998,0.004216370213557819,0.12493799342105258,0.01121093888795714,0.12500822368421047,0.011588649872532787,1.0,0.0,0.034703119514196815,0.0012245504410060043,1.0,0.0,0.03559259868421048,0.0012426083416652118
