experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0240642737500709,0.0040986009511172,0.399496228207746,0.1163439707854464,0.0135012160356823,1.0,1.0,0.2942272356963166,1.0,0.0992651491047379,1.0,0.310261842105263,1.0,0.0997884868421052
balanced,200.0,Bayes-MAP,0.076290305809418,0.0036403093242478,0.559596453983881,0.1872225170216096,0.0575135410333627,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1452836421811925,0.0122224044678774,0.5654951300021736,0.1605876652025746,0.12623571691582,1.0,,,,,,,,
balanced,200.0,Avg,0.2857894685624999,0.0154191772487077,4.791085731385406,0.3622433284934667,0.2683157843519737,,,,,,,,,
balanced,400.0,BayPIRE,0.0221338528617818,0.0049671487091352,0.3005594481419794,0.0851833801529114,0.0168241497040011,1.0,0.991,0.1489588240664866,0.9,0.0566932956666177,0.999,0.170997697368421,0.9,0.0575870065789473
balanced,400.0,Bayes-MAP,0.0711937959664283,0.0060324300774921,0.4795266984346141,0.1506669677161272,0.0531348255273205,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.10121125588848,0.01558983516512,0.543062150428639,0.1318953381207251,0.08345898129971,1.0,,,,,,,,
balanced,400.0,Avg,0.1995394722821052,0.0103544074544125,1.8198963351762216,0.2998783771027027,0.1822368407031578,,,,,,,,,
balanced,800.0,BayPIRE,0.018695019775387,0.0010477307626355,0.2522662206818623,0.0729559598383149,0.0130811451122976,1.0,0.964,0.099265582582524,1.0,0.0347031195141968,0.998,0.1249379934210525,1.0,0.0355925986842104
balanced,800.0,Bayes-MAP,0.0562722009432083,0.0036653749565021,0.3882303686612811,0.1122559381886578,0.0387509242147058,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0771046752511737,0.005602343550097,0.4482349572069312,0.1064256664021824,0.0604950271731967,1.0,,,,,,,,
balanced,800.0,Avg,0.1374539472263158,0.0076894639423638,0.8491059785446439,0.2716770832076389,0.1217565788052631,,,,,,,,,
balanced,1600.0,BayPIRE,0.0189887321618638,0.0015326448732725,0.2236296581646689,0.0669584505416879,0.0121380864907007,1.0,0.883,0.0754902472644586,0.9,0.0226766821195658,0.992,0.1061845394736841,0.9,0.023877467105263
balanced,1600.0,Bayes-MAP,0.0414046053900754,0.0034388299045697,0.316393055542477,0.0864595829972754,0.025249407126212,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0525835269875453,0.00452364937801,0.2917714155370404,0.0832945211700268,0.0370281548941323,1.0,,,,,,,,
balanced,1600.0,Avg,0.0932861842105263,0.0074044657039853,0.7109109369111102,0.2564129136029411,0.0769111842105263,,,,,,,,,
random,200.0,BayPIRE,0.0253759462049929,0.0037831779090024,0.4468424761129485,0.1404935974396817,0.0196755456725247,1.0,1.0,0.2647469885863855,1.0,0.1186956122158646,1.0,0.2817264802631577,1.0,0.1190878289473684
random,200.0,Bayes-MAP,0.0726691666769889,0.0067454807596327,0.5748697931292072,0.1944156559743169,0.0551443802927791,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1494834018859518,0.0257762167893954,0.6662718256836967,0.1923684952400725,0.1303183843355082,1.0,,,,,,,,
random,200.0,Avg,0.2829672007354292,0.0151079440671731,4.570876098074656,0.3628562775598256,0.2642345691564818,,,,,,,,,
random,400.0,BayPIRE,0.024322071514878,0.0093569749466336,0.3383885907406124,0.100687273262566,0.0191977441380246,1.0,0.99,0.1572735947229288,0.9,0.0725518645097285,0.997,0.1789598684210525,0.9,0.072869572368421
random,400.0,Bayes-MAP,0.0672399875792745,0.0069055052752937,0.4973881368243022,0.1596521757987688,0.0496930405022976,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1127826742184116,0.0154409103492537,0.6040154889726383,0.1524966585973863,0.0954648488901637,1.0,,,,,,,,
random,400.0,Avg,0.2156463580784656,0.012494063697789,2.584235165319619,0.3160129560413637,0.1974263956724506,,,,,,,,,
random,800.0,BayPIRE,0.020202186470697,0.0012561569460815,0.261197960306169,0.0755329701777501,0.0147167780681802,1.0,0.955,0.1028904308410182,1.0,0.0404729173581748,0.999,0.129600822368421,1.0,0.0414437499999999
random,800.0,Bayes-MAP,0.0574597196506955,0.0045538944889415,0.4046218117213314,0.1200678149210567,0.0408160863913737,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0796337901870343,0.0060507612917358,0.4528692009130137,0.1104740377242145,0.0616649563462085,1.0,,,,,,,,
random,800.0,Avg,0.1500909371059183,0.0104428950852842,1.1690296167564356,0.2796950568715066,0.1333236894413022,,,,,,,,,
random,1600.0,BayPIRE,0.0184440084250318,0.0013708840925916,0.2281215247158731,0.0682181817880985,0.0124753610878447,1.0,0.857,0.0714744927376486,1.0,0.024208233855685,0.99,0.1026978618421052,1.0,0.0253455592105263
random,1600.0,Bayes-MAP,0.0429990360209754,0.0032946584217288,0.3252808516240899,0.0901858294174169,0.0282869600394032,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0550030863909187,0.0053051856829502,0.3095568024749161,0.0857814107619005,0.0404220625193392,1.0,,,,,,,,
random,1600.0,Avg,0.0986157441358639,0.0073671186345973,0.7195283857401595,0.2591988364844395,0.082779657222523,,,,,,,,,
