benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Avg,100,152,200,15200,0.282016411097995,0.350188261238979,0.26544272688746867,4.71676799555945,0.3657169801784097,0.36053801815530945,0.1267380952380953,0.013157894736842105,0.84,0.75,False,0,7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,PE-Rasch,100,152,200,15200,0.16433491892484206,0.20201372580806476,0.1466924390304964,0.703557145907817,0.2000370811707915,0.027971456552258207,0.001525737041967282,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Bayes-MAP,100,152,200,15200,0.07205339069970436,0.08684484497488056,0.05666768126307029,0.5780423416583923,0.19614460511693269,0.3820019618857187,0.10679267695475528,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,97.26634514615698,0.0017409668902602102,0.5172286994853085,0.3738287651806721,0.42982253311351487,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,BayPIRE,100,152,200,15200,0.022129433736403817,0.028541483332167543,0.012455784588022939,0.4557220688115683,0.1431326949367201,0.2723781763698352,0.0668235635195497,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,919.0,0.0,1000.0,1000.0,4.0,0.97,0.901,0.504,2.575,1.0,0.32644812439096355,0.32879533430907165,1.0,0.34122861842105245,0.34210526315789475,1.0,0.11825676120893436,1.0,0.1177105263157896
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Avg,100,152,200,15200,0.2702605217625,0.33324530496880916,0.2545236796572368,4.307889083501911,0.35376304463288893,0.4096055144512395,0.14325000000000002,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,PE-Rasch,100,152,200,15200,0.15089812165064398,0.1843542219385098,0.1324258249029841,0.617104029503992,0.18393470097913434,0.025958540368648943,0.0010827758693355647,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Bayes-MAP,100,152,200,15200,0.06561706907597674,0.08005841161443741,0.052348014744048224,0.5683988076439804,0.1917533363444194,0.3874678931153155,0.10884235195890342,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,98.1813003103101,0.0008878445126236892,0.539622438576967,0.33086659170110716,0.4497066440406209,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,BayPIRE,100,152,200,15200,0.024697854019347088,0.029912247717451317,0.020428607587565293,0.43843280117442957,0.13826898058203918,0.24678468187412592,0.05811160239526469,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1620.0,0.0,1000.0,1000.0,4.0,0.97,1.034,0.355,2.869,1.0,0.23121178870231776,0.23277560253861726,1.0,0.25077302631578935,0.2501644736842096,1.0,0.11792264724460799,1.0,0.1183585526315788
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Avg,100,152,200,15200,0.26857455685811404,0.3359640756363103,0.25023771475285084,4.3739625380843625,0.3557811749272593,0.37207533328587544,0.13016666666666668,0.013157894736842105,0.84,0.7697368421052632,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,PE-Rasch,100,152,200,15200,0.14514638735785654,0.19226817039926003,0.12819361186801956,0.6363943194114087,0.1843963945443786,0.02610283696531812,0.0011831187350921013,0.013157894736842105,0.84,0.7697368421052632,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Bayes-MAP,100,152,200,15200,0.06872284936769214,0.08384528628699385,0.05315982484681145,0.5705815695031737,0.19223478872494595,0.3825477214752422,0.10619362660343729,0.013157894736842105,0.84,0.7697368421052632,False,0,6,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,97.78304033517486,0.0004113342070176455,0.48132557190548064,0.36693043703122363,0.43988134660236733,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
