benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,random_uniform,Avg,0.2829672007354292,0.01510794406717312,0.34604727079459163,0.013713473199223654,0.2642345691564818,0.01453689164691203,4.570876098074656,0.24800064222809481,0.3628562775598256,0.009896921130931682,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,random_uniform,BayPIRE,0.025375946204992998,0.003783177909002441,0.03116527093720564,0.005141718706744476,0.019675545672524733,0.004829716915805035,0.4468424761129485,0.01893265402236042,0.14049359743968176,0.007505467893223013,1.0,1.0,0.0,0.2647469885863855,0.05363931316446341,0.2651504378673989,0.05439725907839144,1.0,0.0,0.2817264802631577,0.05185299561937232,0.2816365131578944,0.05384257694279482,1.0,0.0,0.11869561221586467,0.004546644652392737,1.0,0.0,0.11908782894736843,0.004582817533723036
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,random_uniform,Bayes-MAP,0.07266916667698893,0.006745480759632796,0.0885022417705793,0.00836356487505239,0.05514438029277914,0.0070560747094710035,0.5748697931292072,0.008582023027307577,0.19441565597431698,0.004093196673562044,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,200.0,random_uniform,PE-Rasch,0.14948340188595183,0.0257762167893954,0.18969804476075708,0.02972220134633997,0.13031838433550827,0.026906707462897406,0.6662718256836967,0.08873210782222286,0.19236849524007252,0.02299776889131242,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,400.0,random_uniform,Avg,0.21564635807846563,0.012494063697789092,0.2689866219627076,0.014720543517146068,0.19742639567245063,0.014231823552467915,2.584235165319619,0.3661862075676715,0.3160129560413637,0.008304215129426995,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,400.0,random_uniform,BayPIRE,0.02432207151487801,0.009356974946633644,0.029175314727494357,0.009635074215408502,0.019197744138024674,0.01117778012679504,0.3383885907406124,0.015873911774844755,0.10068727326256606,0.0067923445302280816,1.0,0.99,0.021602468994692852,0.1572735947229288,0.027710257508658305,0.15769473030307615,0.02805742858430458,0.9970000000000001,0.009486832980505146,0.17895986842105255,0.024210263578578473,0.17865953947368401,0.024329484007192006,0.9,0.31622776601683794,0.07255186450972859,0.002992185583556126,0.9,0.31622776601683794,0.07286957236842102,0.002918362133553855
mmlu:astronomy,mistralai_mistral_7b_v0_1,400.0,random_uniform,Bayes-MAP,0.06723998757927452,0.0069055052752937775,0.08285674433910195,0.007763704539382356,0.04969304050229765,0.008155269415449156,0.4973881368243022,0.009388797700206718,0.15965217579876884,0.004642800184907565,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,400.0,random_uniform,PE-Rasch,0.11278267421841166,0.01544091034925379,0.1501299799139954,0.015628397655399407,0.09546484889016378,0.01552587223643112,0.6040154889726383,0.06065583373751625,0.1524966585973863,0.01266106365423404,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,800.0,random_uniform,Avg,0.1500909371059183,0.010442895085284249,0.18929730281237322,0.013588493556918869,0.1333236894413022,0.008914423146174211,1.1690296167564356,0.20281775823767217,0.2796950568715066,0.005607088325408998,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_v0_1,800.0,random_uniform,BayPIRE,0.02020218647069707,0.001256156946081566,0.02400089068995745,0.0017470988269172637,0.014716778068180208,0.0013012646908597124,0.26119796030616904,0.007531026185983759,0.0755329701777501,0.0026158585650778586,1.0,0.9550000000000001,0.03472111109333275,0.10289043084101826,0.023292323219141126,0.10295254130693599,0.02304488479468513,0.999,0.0031622776601683716,0.129600822368421,0.019146541117081344,0.13060855263157886,0.01885940209191541,1.0,0.0,0.040472917358174806,0.0015564295114019427,1.0,0.0,0.041443749999999925,0.001418369532882681
