benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.2441999954920001,0.33846712620779007,0.218399995492,4.667445889326335,0.36806121982857143,0.3742994821023705,0.13500000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.09915993312327666,0.1254452944781364,0.06536867113272697,0.41612865998850135,0.10838600537335259,0.021220802053385848,0.0006990142439997334,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07139597919532994,0.08830590921701835,0.041806703815252526,0.5074659464233922,0.16132616165566982,0.37997482635802354,0.10176023493478267,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,99.36805859370043,0.00018184395198050755,-0.045204331328413436,0.3573743545266255,0.586913344713745,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.028711580851338122,0.03497579654419772,0.024648975939116392,0.2932144821226133,0.07841569397333964,0.1745224249856033,0.03300402314242845,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,2179.0,0.0,1000.0,1000.0,4.0,0.97,-0.102,0.334,3.717,1.0,0.16944791647175286,0.1696278553939323,1.0,0.19952249999999985,0.19999999999999996,1.0,0.07714448067686608,1.0,0.07850999999999997
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.280599994708,0.3649109408702349,0.25399999470800005,5.337543377119255,0.3874489741428571,0.31884770845757493,0.11500000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.1282156395872307,0.16551860414492023,0.10031643278664046,0.5194866125343196,0.1395158268540597,0.021972471910508967,0.0007950167788578889,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07914965301551465,0.0958675719121059,0.04995123496095661,0.5241266852811837,0.1695748281781182,0.3790968449917294,0.10150644462920329,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,99.16871492493232,0.00030756071501430315,-0.0006990276672674194,0.4001828679135593,0.5581734769239174,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.029050026718385333,0.03427882734428565,0.019001336445622116,0.3269202809914838,0.09063514193451791,0.22058062036585024,0.04828404764976854,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1220.0,0.0,1000.0,1000.0,4.0,0.97,0.004,0.489,3.234,1.0,0.2588141187910361,0.2590180289595945,1.0,0.28204249999999986,0.28,1.0,0.08864129486467254,1.0,0.08960999999999991
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.28079999470800004,0.36477389540475624,0.25419999470800003,5.335663715794749,0.3873469333285715,0.3188477084575749,0.11500000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.1285998448836786,0.1707955610982495,0.10345384023001589,0.5613367069768895,0.15111143621731335,0.020848643054440227,0.0006534915018386913,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
