benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Avg,0.264099995051,0.018018570292585485,0.35237737717229844,0.01334079660039501,0.23841999505100003,0.017129687952226892,5.031359071720355,0.3292449871616708,0.3782601989914286,0.009782842657871278,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,BayPIRE,0.030151310927516974,0.0022177258759856267,0.03640190372999745,0.0031362400307631726,0.024357499753667307,0.0037736985574825985,0.3097518574517108,0.012565818962643707,0.08452429297911515,0.004683469548035837,1.0,0.9960000000000001,0.009660917830792959,0.199143855280544,0.0308274147015434,0.19884739342599744,0.03082282006491536,1.0,0.0,0.22715574999999982,0.028301084663401165,0.22607499999999967,0.02799536171900219,1.0,0.0,0.08233177188133915,0.0033189661142771524,1.0,0.0,0.08311849999999998,0.0032889943160654867
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Bayes-MAP,0.07575578555941542,0.004860356415480239,0.09222929757689521,0.004385420512630582,0.04819408926855116,0.0047719594614651145,0.5154725892864911,0.007351024241140769,0.1653219402998299,0.0036066993871522,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,PE-Rasch,0.1104187209519673,0.01574199259722039,0.14394437575358188,0.01851765843274091,0.08103048178988026,0.016690221059836557,0.4533172542386034,0.051895664313954946,0.12168586006191415,0.014859645973668525,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Avg,0.19614999880960002,0.013503517872357066,0.24679708490821356,0.013068100374747958,0.16898999880959997,0.013566989986563065,1.8408545314036235,0.21886647346191135,0.31501562374333336,0.006946486007710272,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,BayPIRE,0.028478573370651183,0.0008806669785776247,0.03341290540928103,0.0015537433586615488,0.022938128490777317,0.0017742554355982207,0.2418964786869303,0.008430431467060366,0.06783101194173216,0.0026910418699175468,1.0,0.958,0.046856755708814896,0.13249424398746115,0.018126588008066175,0.1324091900887236,0.018155049580707752,0.9970000000000001,0.0067494855771055295,0.1638429999999999,0.015615422700366137,0.16311249999999955,0.015486267438174618,1.0,0.0,0.05137904923305427,0.0026666803422322983,1.0,0.0,0.052175249999999986,0.0028672175948314324
mmlu:business_ethics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Bayes-MAP,0.06657426315349407,0.004155668695225952,0.08161495150841766,0.004806908624864001,0.03871554132031998,0.004791996969171576,0.4212347199095001,0.00593598148481916,0.12398235777061743,0.0028050240333551044,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,PE-Rasch,0.08401262730040591,0.010692756378099785,0.11907288103290692,0.013646654679283108,0.05733780195170788,0.00941759061229109,0.4264022063092419,0.04018629355171734,0.10620314112589706,0.00868801069915,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,Avg,0.13607999991720002,0.008895479472454166,0.17118716766415853,0.008737120576487355,0.1091999999172,0.009980258262038005,0.8475394423260878,0.07688316071550827,0.28330027164608695,0.0034569894432059786,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,BayPIRE,0.02733846293525403,0.0013110568860531372,0.03273556334305615,0.0013259424443154276,0.021500690105449725,0.0017772756020858424,0.205352465393955,0.0051206914720799725,0.06131149007267835,0.0014779281930642815,1.0,0.825,0.0948976056365784,0.09502094746711749,0.015687006824783075,0.0952225631570017,0.01582671011122832,0.9789999999999999,0.01728840330651994,0.12981524999999994,0.011959365196480025,0.12900000000000003,0.011972189997378622,1.0,0.0,0.03249547773989392,0.0012494102704458873,1.0,0.0,0.03355275000000004,0.0011798219321858224
