benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Avg,100,100,200,10000,0.24709999615300002,0.32491998424335194,0.215399996153,4.0955565929987,0.35817482596054423,0.4814154006412961,0.17008333333333336,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.0914027403359791,0.12299388722444614,0.06116855633692084,0.5389544232412645,0.1547958803029368,0.03826436451173496,0.006397705434023277,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.0568031087168539,0.07097709634595802,0.024548844374411627,0.5320804881380973,0.17357503773836325,0.3677209969105105,0.09786409505534664,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,96.50985360395296,0.0008026865205917389,-0.0004759542630121289,0.2775287163736842,0.6220373157057505,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.028735410429389527,0.03348430808014801,0.025837304623447657,0.3929421065498465,0.12160045627438762,0.1839939540986625,0.039830212547681494,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,2438.0,0.0,1000.0,1000.0,4.0,0.97,0.012,0.313,3.524,1.0,0.18482638699003368,0.18482151181199102,1.0,0.21642999999999982,0.21999999999999997,1.0,0.11658543193926496,1.0,0.11680749999999995
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Avg,100,100,200,10000,0.2647333291023334,0.33759277940309823,0.23513332910233334,4.4076315679907125,0.36713831765668936,0.4270914743587956,0.15066666666666673,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.10731141602935024,0.13940779759408894,0.07951017458147219,0.5150375226071598,0.14849766704578374,0.021652359957551832,0.0009116542151080062,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.06392971822334874,0.07733235005378246,0.0331867416417255,0.5323537390167108,0.1738121418090751,0.3522045636278308,0.09141769632604875,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,94.23031737791747,0.000485222455807967,0.019326277124926766,0.3142928935649108,0.6179110052710973,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.028960728985055643,0.03356569356535199,0.024656075185029377,0.36986460009021416,0.11138841418774263,0.17347512945261592,0.035848240805128516,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,2110.0,0.0,1000.0,1000.0,4.0,0.97,0.009,0.372,3.57,1.0,0.20398708946596103,0.20455290390008876,1.0,0.23293499999999984,0.22999999999999998,1.0,0.11684227273154874,1.0,0.11780999999999997
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Avg,100,100,200,10000,0.28688332861533344,0.358538500605878,0.2582833286153334,4.869223055084182,0.382459037076644,0.37003023552271164,0.12900000000000003,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.14092050101681208,0.17994498566987766,0.10932210937203236,0.5905244596714839,0.16823149273821406,0.031212159999017004,0.0029755148077287184,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Bayes-MAP,100,100,200,10000,0.07368452659933922,0.09144597392964149,0.04547476799131367,0.5366102079065151,0.17579515007368793,0.3637399107698242,0.09681412272427281,0.02,0.85,0.91,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,95.64118641038098,0.0007774499655522244,0.034244468272923455,0.368183768332806,0.5717776557464382,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,BayPIRE,100,100,200,10000,0.029639136479205276,0.035698366034800234,0.019402588997378456,0.34956902042958826,0.09976749814717728,0.2263991483993766,0.052898961823538,0.02,0.85,0.91,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1194.0,0.0,1000.0,1000.0,4.0,0.97,-0.012,0.468,3.093,1.0,0.26708078166100846,0.26724633487289706,1.0,0.2904324999999999,0.29000000000000004,1.0,0.11383223040103324,1.0,0.11342000000000002
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,3,random_uniform,Avg,100,100,200,10000,0.3096499950690001,0.3707492722264709,0.279149995069,5.063222886914375,0.39135546542970523,0.40032637780681424,0.13833333333333336,0.02,0.87,0.85,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,3,random_uniform,PE-Rasch,100,100,200,10000,0.10629969034297418,0.1512958886142165,0.08110773142132423,0.5561171326408736,0.15591271621723393,0.023036284604056396,0.0010780012610248095,0.02,0.87,0.85,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,3,random_uniform,Bayes-MAP,100,100,200,10000,0.07491933269282619,0.09153280792959241,0.04940173827213168,0.5374405939052962,0.1764071355772008,0.36338959585603847,0.09703464503879344,0.02,0.87,0.85,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,95.43803794722449,0.0030772110924728977,-0.19458118098345237,0.3273690559623819,0.5938264733951287,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,3,random_uniform,BayPIRE,100,100,200,10000,0.03484856256713597,0.04372420633979305,0.029207428143460716,0.3609357532852623,0.10777077620330282,0.2013109363475488,0.044895729770670086,0.02,0.87,0.85,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1595.0,0.0,1000.0,1000.0,4.0,0.97,-0.29,0.406,3.347,1.0,0.22758814785776565,0.22777402040591205,1.0,0.2535424999999998,0.25024999999999864,1.0,0.11230067905542823,1.0,0.11251499999999987
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,4,random_uniform,Avg,100,100,200,10000,0.307399994785,0.37002551773042486,0.28399999478500004,5.231569157029728,0.39106008539682546,0.36126426316537463,0.12600000000000003,0.02,0.9,0.85,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,4,random_uniform,PE-Rasch,100,100,200,10000,0.11952773380796794,0.15340674251917896,0.09736099497950218,0.5348227364299141,0.1521398676368292,0.020873424571544712,0.0007810810523901115,0.02,0.9,0.85,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,4,random_uniform,Bayes-MAP,100,100,200,10000,0.07520249678337267,0.08985583412184121,0.05364534474606997,0.5427690994695397,0.1787379848010599,0.351047867312776,0.09152750422328772,0.02,0.9,0.85,False,0,6,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,93.72670771874776,0.0005244569674815847,0.16891170857713478,0.3557117748445322,0.5903920346184575,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,4,random_uniform,BayPIRE,100,100,200,10000,0.04269610575912157,0.05037405935297605,0.03888122864739404,0.3813267624137329,0.11463692326655855,0.1936942486711722,0.04300037483088763,0.02,0.9,0.85,False,0,6,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1742.0,0.0,1000.0,1000.0,4.0,0.97,0.378,0.419,3.395,1.0,0.2278914333170069,0.22794527528228534,1.0,0.2522399999999999,0.25000000000000006,1.0,0.11686664456440304,1.0,0.11761499999999991
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,5,random_uniform,Avg,100,100,200,10000,0.3131666613596667,0.3793074027570398,0.2813666613596667,5.425722035273551,0.3982558901630386,0.34478507923535295,0.1211666666666667,0.02,0.87,0.92,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,5,random_uniform,PE-Rasch,100,100,200,10000,0.14527827421981837,0.18573396133382797,0.1134646090327864,0.6060558165834268,0.16310605776271192,0.0266448397846662,0.0016468672651183886,0.02,0.87,0.92,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,5,random_uniform,Bayes-MAP,100,100,200,10000,0.08386599288299315,0.0994754565834539,0.05433214223543034,0.5397964314931419,0.17746839220757402,0.36626254054821955,0.09801410357981055,0.02,0.87,0.92,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,96.04493644444324,0.000563801270671552,-0.14677048940906987,0.3719743985450275,0.5675281001836668,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,5,random_uniform,BayPIRE,100,100,200,10000,0.03861290084345677,0.04787673743311814,0.03216386436295216,0.35283538277714643,0.1016346889535912,0.22174889160695713,0.05154219245365741,0.02,0.87,0.92,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1379.0,0.0,1000.0,1000.0,4.0,0.97,-0.316,0.438,3.202,1.0,0.2503687219201234,0.25095062959581604,1.0,0.27514499999999986,0.27999999999999997,1.0,0.10752666316233489,1.0,0.10841249999999986
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,6,random_uniform,Avg,100,100,200,10000,0.27613332899733334,0.34790100137422886,0.24303332899733335,4.560343253638172,0.374350449006576,0.43071449050515276,0.15058333333333337,0.02,0.88,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_v0_1,200.0,6,random_uniform,PE-Rasch,100,100,200,10000,0.08736527689511732,0.11609109891675348,0.055455343524746264,0.47785128715112596,0.13060262770349404,0.019990261712552852,0.0007413018208278669,0.02,0.88,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
