experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0412905618568641,0.0150692451011007,0.5816543634692533,0.1974980554689977,0.0276116639608729,1.0,1.0,0.4322399672617542,0.9,0.1196966025414902,1.0,0.4418137735849055,0.9,0.1200779245283019
balanced,200.0,Bayes-MAP,0.0798848169205925,0.0074687192617776,0.5891563065482839,0.2015412275776027,0.0620626272015201,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1779599967281398,0.0141827012677228,0.6632863937814821,0.1985575080792724,0.1596141767446738,1.0,,,,,,,,
balanced,200.0,Avg,0.2923301832108301,0.0126038399820941,4.528718489557462,0.3412043680444867,0.273975466229698,,,,,,,,,
balanced,400.0,BayPIRE,0.0234604845718907,0.0024177213499255,0.3397318932625477,0.0961956011466073,0.0186425569041185,1.0,0.997,0.1677088904247573,1.0,0.0615076569660429,0.999,0.1802516037735848,1.0,0.0617747169811319
balanced,400.0,Bayes-MAP,0.0733171846375008,0.0047536174892877,0.5218971679518333,0.1712297762894667,0.0540962176326179,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0971969328397058,0.0103857018720469,0.4854682348222061,0.1265552403720327,0.0770355222383717,1.0,,,,,,,,
balanced,400.0,Avg,0.1910999982271698,0.010225399594568,1.8407355839900863,0.2810799794842912,0.1724660359630188,,,,,,,,,
balanced,800.0,BayPIRE,0.0218384565311585,0.0010490071048288,0.2578856555455479,0.0723153795322435,0.0175149635199688,1.0,0.935,0.1020768407316498,1.0,0.035525380006132,0.973,0.1172640566037735,1.0,0.0360448113207545
balanced,800.0,Bayes-MAP,0.0635969924473261,0.0049888620841811,0.4340479173883783,0.1326389097842293,0.0433886710043983,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0818390591424823,0.0106342330560084,0.4370194068198743,0.1055059337004018,0.0613852730465845,1.0,,,,,,,,
balanced,800.0,Avg,0.1331575468400754,0.0084182939175595,0.9101979904506894,0.2569805445063035,0.1136471694815849,,,,,,,,,
balanced,1600.0,BayPIRE,0.021410863131021,0.0012512976085833,0.2193842655879068,0.0642197116664349,0.0152488573771827,1.0,0.843,0.0854177770128222,1.0,0.0226396651322006,0.952,0.1022416037735848,1.0,0.0233422641509433
balanced,1600.0,Bayes-MAP,0.0471783171032986,0.0033460636908984,0.3482303812559059,0.0974860534485302,0.0269670449266011,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.055296721680433,0.0058187534138245,0.3011958342061309,0.080851848274107,0.0377206143498561,1.0,,,,,,,,
balanced,1600.0,Avg,0.0951754716793207,0.0055989049397649,0.6987949529599868,0.2440264809093172,0.0752216980944151,,,,,,,,,
random,200.0,BayPIRE,0.0292334620248176,0.006737751807772,0.507739572009791,0.1661600850957361,0.020565151719433,1.0,1.0,0.2880925157980571,1.0,0.1228613424006404,1.0,0.297359433962264,1.0,0.123356037735849
random,200.0,Bayes-MAP,0.0691254071028252,0.0043475398838238,0.5945183553559754,0.2035906855031743,0.0465928989584587,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1789432464068656,0.0190629392782824,0.723731297676761,0.2226138937796708,0.1566597827752855,1.0,,,,,,,,
random,200.0,Avg,0.2701552332260305,0.0153450189365024,4.345531011758863,0.3439550126992085,0.2470422143581059,,,,,,,,,
random,400.0,BayPIRE,0.0274943579613636,0.0067031910033114,0.3938977076533864,0.1213076067156709,0.023945900471353,1.0,0.991,0.1648255208393803,0.9,0.0784357946145541,0.998,0.1771299056603772,0.9,0.0788188679245281
random,400.0,Bayes-MAP,0.0713007076865314,0.0075658021788265,0.5380612284427582,0.1786335853534018,0.0519858003426587,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1276521296505796,0.0131205317563308,0.5869255016922494,0.1652442414132332,0.1092589032308191,1.0,,,,,,,,
random,400.0,Avg,0.2108805206176459,0.0108326056960239,2.599404441965796,0.2999580272640986,0.1916984451459478,,,,,,,,,
random,800.0,BayPIRE,0.0223816068557049,0.0010474479043133,0.286159223547768,0.0826998632158052,0.0179714266007201,1.0,0.949,0.1100872910396741,1.0,0.0459074716375175,0.988,0.1247888679245282,1.0,0.0462563207547168
random,800.0,Bayes-MAP,0.0622049558361453,0.0036120819421229,0.4520885079940756,0.1406567306440858,0.0420041994171777,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0966996951324827,0.0097687197181886,0.4932657260778571,0.1237942573029795,0.0763734586042701,1.0,,,,,,,,
random,800.0,Avg,0.1405037730953119,0.0087566566554673,1.0937813722306602,0.2613150576878534,0.1202448680066899,,,,,,,,,
random,1600.0,BayPIRE,0.0208733263332474,0.0013507634326275,0.2276271976506696,0.0661212991782919,0.014773943679368,1.0,0.891,0.0927874128645556,0.8,0.0257357940968616,0.955,0.108735754716981,0.9,0.0264329245283018
random,1600.0,Bayes-MAP,0.0481876214665858,0.0040871135522278,0.3628537498511233,0.1043312543495585,0.029696907322541,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0578803011830014,0.0045962575343176,0.319165129782077,0.0841333195769917,0.0408709684321089,1.0,,,,,,,,
random,1600.0,Avg,0.0959926001103282,0.0077615090874154,0.6992923180170126,0.2441011711353077,0.0766965997815365,,,,,,,,,
