benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:clinical_knowledge,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Avg,100,265,200,26500,0.2519591150221383,0.3195187408295628,0.2278333288586163,3.9314109109796638,0.3313454439755809,0.4076499418647414,0.1409166666666667,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,PE-Rasch,100,265,200,26500,0.17198177662683606,0.2131250801049831,0.14913778352326493,0.7364685845879793,0.22193679454195903,0.027327877472916554,0.0014375616748796604,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Bayes-MAP,100,265,200,26500,0.06428672660108033,0.08070769568719112,0.04249439487942945,0.5917075774896169,0.2024272673745363,0.3979580068733297,0.11411879024091279,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,99.29928331086906,0.0007900757020285497,0.6579884440412684,0.34707919353992783,0.3226865867164966,366.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,BayPIRE,100,265,200,26500,0.024535307032618085,0.02996831325379076,0.013910634356029725,0.5071397766202584,0.16559494445699563,0.2718505958258179,0.0632493767423312,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,942.0,0.0,1000.0,1000.0,4.0,0.97,1.101,0.459,2.527,1.0,0.29959353590288407,0.3002916426903538,1.0,0.309182075471698,0.30943396226415093,1.0,0.12160130184707496,1.0,0.12288490566037746
mmlu:clinical_knowledge,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Avg,100,265,200,26500,0.27628427176616355,0.347425955083915,0.2560591145334591,4.511038413572062,0.35029220185694976,0.32956925280140986,0.11558333333333337,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,PE-Rasch,100,265,200,26500,0.21092536961562014,0.24997066491877248,0.19243480357788428,0.7774008076518862,0.2386637603289842,0.022715258432810234,0.0007870687426223548,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Bayes-MAP,100,265,200,26500,0.07096386464068896,0.09233553668271094,0.04906297173068368,0.5983238069008411,0.20514497572620968,0.3758259867351718,0.104363194136637,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,96.13840936158162,0.00018121633895878085,0.5991361379340003,0.4016754249790665,0.31366270047583084,366.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,BayPIRE,100,265,200,26500,0.029084747849296017,0.037644456896519775,0.01122585880527761,0.5140690207220011,0.1674497718391024,0.2627340981966495,0.0604263697493351,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,660.0,0.0,1000.0,1000.0,4.0,0.97,1.121,0.693,2.549,1.0,0.40522453326822366,0.40608327052806303,1.0,0.4107009433962264,0.41136792452830184,1.0,0.12539229742608626,1.0,0.12647830188679232
mmlu:clinical_knowledge,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Avg,100,265,200,26500,0.25451508977018855,0.32686558437146956,0.2347490520343396,4.099598248812584,0.3362356381174483,0.36697836208201345,0.12708333333333335,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,PE-Rasch,100,265,200,26500,0.16393815931769112,0.19489776410858603,0.14386958610743983,0.7284016817356342,0.22352143971990499,0.0222251375460421,0.000751237067395184,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
