benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:college_biology,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Avg,0.29279166111486116,0.019851579251738583,0.32916901029687323,0.022368725681784763,0.2695833277815278,0.018848136566336108,4.420057189906961,0.49242512922598813,0.3327570377833803,0.01537702020551971,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,BayPIRE,0.028370281106219353,0.0037056077410618075,0.03418680117359289,0.004927213943755552,0.019475134622823593,0.006512368791887847,0.3387726442575452,0.01207736274564524,0.09388524703252735,0.004577501610628331,1.0,1.0,0.0,0.2547732525745082,0.04784353753188521,0.25357491398219434,0.046529850911833794,1.0,0.0,0.27174930555555543,0.0455731209813174,0.2708680555555554,0.04366362971643245,1.0,0.0,0.0920573014605886,0.004524115182379399,1.0,0.0,0.09249947916666655,0.004437889336251317
mmlu:college_biology,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Bayes-MAP,0.07215280172891955,0.006874795581776094,0.08742570341818176,0.006668854217561589,0.04781131132807174,0.005466234943293687,0.5145661613942313,0.005854169321165621,0.16901899468322873,0.0030339773995024235,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,PE-Rasch,0.12382434461167316,0.01820279548763193,0.15959210867028098,0.02109533191693593,0.09875638955190251,0.01848121890570942,0.43796591375613503,0.03114169453092298,0.12380991940141395,0.01138316654094408,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Avg,0.19663888675972224,0.01585349697470933,0.23347177043856343,0.017625980760647777,0.17511110898194443,0.016529015879992195,1.9535074915398654,0.2578133690527336,0.278816069918,0.008916670590741018,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,BayPIRE,0.02563986461841868,0.0009734070543689377,0.029975979621451283,0.0013570847412063566,0.021959903405689703,0.0014615455607387483,0.23302792479061515,0.006808512534065701,0.062358274229123975,0.0020132300176041815,1.0,0.9550000000000001,0.03922867431979937,0.11802338413603106,0.016179867977418178,0.11786178611565487,0.016208574181789705,0.9970000000000001,0.006749485577105535,0.14208298611111103,0.014333631532735772,0.1416840277777777,0.014340751849246986,1.0,0.0,0.049954281050086556,0.0017474729721639736,1.0,0.0,0.05115190972222222,0.0017829659662481057
mmlu:college_biology,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Bayes-MAP,0.06631337785567674,0.005450199195513004,0.08057657831380208,0.0062956126410250645,0.04297354373657468,0.005495713762511423,0.4284630411753447,0.00658331734861214,0.13114907794719777,0.0031370924555366485,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,PE-Rasch,0.07362928615355623,0.012899530552902532,0.10592003885918386,0.015609366331503255,0.047678186756002834,0.012895608661866747,0.35760596260975175,0.031811079373804736,0.09010257449113042,0.009490456322495015,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,Avg,0.12854166631722222,0.010818484456048114,0.16062275369543205,0.014072967758185938,0.107694444095,0.010714057141472791,0.9030331758125818,0.12016118350598365,0.24989338210117648,0.004827500396627344,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,BayPIRE,0.02555621043503182,0.0023703635784704294,0.030326237936018095,0.0033688005944147305,0.021525605654791415,0.0029667003272578264,0.19041081441833005,0.006390475754292511,0.05471490799307568,0.002274026521691635,1.0,0.8320000000000001,0.09247221805013169,0.0872922833224754,0.01050148450324846,0.08750425702540342,0.010628256376860646,0.9710000000000001,0.04012480529547776,0.11236996527777772,0.007950945348986431,0.11251736111111103,0.010219471568031484,0.9,0.31622776601683794,0.03134326048196673,0.0010709874049729619,0.9,0.31622776601683794,0.03225902777777775,0.0011594668598688533
