experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0283702811062193,0.0037056077410618,0.3387726442575452,0.0938852470325273,0.0194751346228235,1.0,1.0,0.2547732525745082,1.0,0.0920573014605886,1.0,0.2717493055555554,1.0,0.0924994791666665
balanced,200.0,Bayes-MAP,0.0721528017289195,0.006874795581776,0.5145661613942313,0.1690189946832287,0.0478113113280717,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1238243446116731,0.0182027954876319,0.437965913756135,0.1238099194014139,0.0987563895519025,1.0,,,,,,,,
balanced,200.0,Avg,0.2927916611148611,0.0198515792517385,4.420057189906961,0.3327570377833803,0.2695833277815278,,,,,,,,,
balanced,400.0,BayPIRE,0.0256398646184186,0.0009734070543689,0.2330279247906151,0.0623582742291239,0.0219599034056897,1.0,0.955,0.118023384136031,1.0,0.0499542810500865,0.997,0.142082986111111,1.0,0.0511519097222222
balanced,400.0,Bayes-MAP,0.0663133778556767,0.005450199195513,0.4284630411753447,0.1311490779471977,0.0429735437365746,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0736292861535562,0.0128995305529025,0.3576059626097517,0.0901025744911304,0.0476781867560028,1.0,,,,,,,,
balanced,400.0,Avg,0.1966388867597222,0.0158534969747093,1.9535074915398656,0.278816069918,0.1751111089819444,,,,,,,,,
balanced,800.0,BayPIRE,0.0255562104350318,0.0023703635784704,0.19041081441833,0.0547149079930756,0.0215256056547914,1.0,0.8320000000000001,0.0872922833224754,0.9,0.0313432604819667,0.971,0.1123699652777777,0.9,0.0322590277777777
balanced,800.0,Bayes-MAP,0.0505650736701967,0.0034863845789706,0.337969796798017,0.0940122638594997,0.0279354588733747,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0625125408775696,0.0032574380169618,0.3222188963330537,0.0789593994412402,0.0412695282971678,1.0,,,,,,,,
balanced,800.0,Avg,0.1285416663172222,0.0108184844560481,0.9030331758125818,0.2498933821011764,0.107694444095,,,,,,,,,
balanced,1600.0,BayPIRE,0.0227252279359473,0.0011685398140998,0.1702680349810837,0.0512309099699847,0.0163405315739636,1.0,0.7889999999999999,0.0742876106777629,0.9,0.0194756560229303,0.965,0.1000526041666666,1.0,0.0208765624999999
balanced,1600.0,Bayes-MAP,0.0371329461673138,0.0026054117721119,0.2668538069108764,0.0696025613458319,0.0159830177432812,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.045562834409316,0.002297412122575,0.230657634745786,0.0649449056673799,0.0262126541490184,1.0,,,,,,,,
balanced,1600.0,Avg,0.0904374999911111,0.0058810921690817,0.6801509487559347,0.2368798828060937,0.0690624999911111,,,,,,,,,
random,200.0,BayPIRE,0.0319687093398197,0.0064598690421117,0.390015085675165,0.1194916473263851,0.02817466467906,1.0,0.987,0.2099408367243131,1.0,0.1130879599565686,0.999,0.2289769097222221,1.0,0.1134215277777776
random,200.0,Bayes-MAP,0.0657673243403875,0.0064886797096292,0.5285353432400385,0.1746254594118659,0.0450163511911177,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1201223442641933,0.0138352823121768,0.5276702911675034,0.1550843497174209,0.0957051404299909,1.0,,,,,,,,
random,200.0,Avg,0.2711377726297222,0.0158767432382878,4.341165387711625,0.3354779363731935,0.2478611059630556,,,,,,,,,
random,400.0,BayPIRE,0.0264441106102775,0.0018217936698509,0.2717880752277577,0.0772975305711516,0.0227296908030128,1.0,0.966,0.1301476634217501,1.0,0.066771885954909,0.997,0.1534435763888888,1.0,0.0671052083333332
random,400.0,Bayes-MAP,0.061377514875916,0.0039135325308732,0.4442794188834142,0.1381326420744083,0.0377039992043271,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0864570256087441,0.0081616062938406,0.4190474165588181,0.1101710915512011,0.0621509348334834,1.0,,,,,,,,
random,400.0,Avg,0.2071645174241035,0.0138508458865037,2.4964442089900816,0.2902733665164676,0.1826403110748972,,,,,,,,,
random,800.0,BayPIRE,0.0243596820908459,0.0009226561273646,0.1989886211929578,0.0564892465956917,0.0215598184926847,1.0,0.8210000000000001,0.0790771443364616,1.0,0.036191898274017,0.984,0.1078192708333332,1.0,0.036789236111111
random,800.0,Bayes-MAP,0.0475557955508717,0.0045993007808009,0.3489248628075051,0.0987309567152349,0.0260669205402444,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0606908009640468,0.0051660864085561,0.3176525342020563,0.080270409442773,0.0395280846529781,1.0,,,,,,,,
random,800.0,Avg,0.1354816238523435,0.011197461992362,1.1587789753850557,0.2544673141486987,0.1139424852132049,,,,,,,,,
random,1600.0,BayPIRE,0.0214217012338799,0.0014302686963328,0.1672148491487305,0.0502961406327229,0.0154975619234937,1.0,0.867,0.0837529272699963,0.9,0.0216547110757819,0.975,0.1075524305555555,0.9,0.0226484374999999
random,1600.0,Bayes-MAP,0.0358955117409603,0.0045394745851529,0.2710668722166518,0.0710727878371434,0.0179738972153697,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0471265389427774,0.0055518803936539,0.2281827226086409,0.0643713854197588,0.0307308654689204,1.0,,,,,,,,
random,1600.0,Avg,0.086668840616018,0.0104027557756624,0.6937574473162211,0.2363560546027649,0.0657412680840795,,,,,,,,,
