benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.29949999461,0.36460251625423545,0.2774999946100001,5.242267824407777,0.38015305587142856,0.3119162367519754,0.11250000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.09906369961383342,0.12584366369368258,0.0731445807513525,0.39623612369674255,0.1049145507757267,0.020565955866480305,0.0006899609871820192,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07810348083562955,0.09391263235812616,0.052797936241840954,0.5035358770064061,0.16047758343227228,0.3638954682836233,0.09566927039316152,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,96.4538484580939,0.001942924987957065,-0.3001099771018523,0.38555062279818725,0.5741329044413639,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.030511022254084374,0.03770278603968339,0.02690988923173756,0.29342896292393844,0.0792160558855473,0.165625542432362,0.030192066988462773,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,2179.0,0.0,1000.0,1000.0,4.0,0.97,-0.719,0.357,3.766,0.98,0.16858561742834696,0.16943107643747507,1.0,0.19933249999999986,0.2,1.0,0.07957274335651598,1.0,0.07979999999999987
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.292499994708,0.3576800176217845,0.272499994708,5.108224698692986,0.3749999948,0.31884770845757493,0.11500000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.13460622041819442,0.17513289843236735,0.1090433223200995,0.5156448163372158,0.14563006338990192,0.021454621759964255,0.0006859942219807078,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07933626148425381,0.09451880254672725,0.05409585250641348,0.5162433302910459,0.16669530024352636,0.3765994390610415,0.10134485382762883,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,98.27290401270822,0.002788611773608849,-0.3202231012519905,0.40107501833264103,0.5503054847185095,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.03086737446447158,0.037178995337587874,0.01796042796207131,0.32916962399022137,0.09125961069249774,0.23514410939057853,0.05346325122255588,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1051.0,0.0,1000.0,1000.0,4.0,0.97,-0.642,0.547,3.03,1.0,0.29261290887930036,0.2911882845051642,1.0,0.31494499999999986,0.3101249999999993,1.0,0.09558193979667795,1.0,0.09631000000000006
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.29489999480600004,0.35990970398637495,0.26949999480600006,5.098239218702089,0.3765816274714286,0.3257791801631743,0.11750000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.12779944907650395,0.16795966143438326,0.09620729788771086,0.49428959197923383,0.1358339435011552,0.021712787545637057,0.0007387243390745266,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
