experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0297856131528967,0.0021639470291881,0.3194070334047033,0.0885047784404028,0.0228660307279768,1.0,0.99,0.2186839523074752,1.0,0.0855472274159841,0.999,0.2449929999999998,1.0,0.0869699999999999
balanced,200.0,Bayes-MAP,0.0758367663095474,0.0054716050524954,0.5110987584554598,0.1644387741335048,0.0496271792631498,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1158945854115066,0.0161412534820678,0.4804569974233794,0.1304653219347583,0.0891241555491919,1.0,,,,,,,,
balanced,200.0,Avg,0.2850999948746,0.0133186583716795,4.942944106249447,0.3696377500942857,0.2633999948746001,,,,,,,,,
balanced,400.0,BayPIRE,0.0263002513057184,0.0008893594251264,0.2610410608023609,0.0735857965623359,0.0206461064476702,1.0,0.94,0.1322416542859911,1.0,0.0520472887426137,0.987,0.1655852499999999,1.0,0.0537762499999999
balanced,400.0,Bayes-MAP,0.0631592019772132,0.0037431435461642,0.4213841661664837,0.1250957091668434,0.0373188390208916,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0885498669968899,0.0109540538588125,0.4694639861890355,0.1142512004271385,0.0619635505440254,1.0,,,,,,,,
balanced,400.0,Avg,0.1950199987232,0.0101398879002456,1.7670649504793154,0.3022291654645833,0.1733999987232,,,,,,,,,
balanced,800.0,BayPIRE,0.0259934987730676,0.001276887956514,0.228582687374158,0.0667781958129251,0.0179752712345828,1.0,0.882,0.1068034675905481,0.9,0.0333330660928645,0.974,0.1420982499999999,1.0,0.0347942499999999
balanced,800.0,Bayes-MAP,0.0524960885796387,0.0048697135872144,0.3421266403871394,0.0947195929223708,0.0269885915396031,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0742501980438088,0.0057212164242129,0.3911366000075761,0.0980736479662044,0.0508224554243172,1.0,,,,,,,,
balanced,800.0,Avg,0.140434999862,0.0111910690556284,0.8617082020173861,0.276423233567826,0.116634999862,,,,,,,,,
balanced,1600.0,BayPIRE,0.0239176728812182,0.0012602966330868,0.2135036942197063,0.0636357160963555,0.0134805060016529,1.0,0.825,0.0864649823115441,0.9,0.0209079159716532,0.97,0.1229567499999999,1.0,0.0228245
balanced,1600.0,Bayes-MAP,0.0381304571697979,0.0019201450345601,0.2825810457180214,0.0760548097235806,0.0158994379841729,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0488482937897012,0.0035153814531924,0.2726922791768028,0.0776160985969139,0.0281638613843784,1.0,,,,,,,,
balanced,1600.0,Avg,0.0915525,0.0055569832193376,0.7168052338018478,0.2597300967261905,0.0696025,,,,,,,,,
random,200.0,BayPIRE,0.0314472075373222,0.0053065079139812,0.3838619715326178,0.1156718683197294,0.0257143465620912,1.0,0.994,0.2347350529488933,1.0,0.1126871100230132,0.997,0.2613167499999999,1.0,0.113527
random,200.0,Bayes-MAP,0.068084733348556,0.0067905421677914,0.5323589703000975,0.1746313179099642,0.0422936470656321,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1183628015356568,0.014144709886636,0.5707434859861062,0.1595073626204607,0.0909043016462277,1.0,,,,,,,,
random,200.0,Avg,0.2857716619424667,0.0144664168770082,4.680907889038318,0.3698311319456009,0.2613016619424667,,,,,,,,,
random,400.0,BayPIRE,0.0286668224721588,0.0020623421386342,0.2878651379826912,0.0826149060834492,0.0230265518746457,1.0,0.951,0.1410944558661143,1.0,0.0656862735842979,0.995,0.1734809999999999,1.0,0.0663859999999999
random,400.0,Bayes-MAP,0.0632326487995133,0.0044214578996431,0.442464349533478,0.1350681359648908,0.037337137191093,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0999294622878136,0.0118047949311415,0.5205802495181485,0.1288210460003601,0.0737630641515498,1.0,,,,,,,,
random,400.0,Avg,0.218660282651485,0.0156276815199203,2.7222647159770452,0.3238163916164762,0.1950145683657707,,,,,,,,,
random,800.0,BayPIRE,0.0260913353536797,0.0011405699998973,0.234670085709202,0.0682494391005721,0.0199339019547135,1.0,0.836,0.0951443485380471,1.0,0.036454350941139,0.969,0.1335849999999999,1.0,0.0376739999999999
random,800.0,Bayes-MAP,0.0506788708089937,0.0046610095034515,0.3502329535086937,0.0979961491365713,0.0253779491524358,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0704636500091284,0.0075598214598357,0.3757421460971379,0.0961417696220251,0.0467686002417565,1.0,,,,,,,,
random,800.0,Avg,0.1428567855870696,0.0126585377776585,1.127139083649971,0.280175397453689,0.1199502943005783,,,,,,,,,
random,1600.0,BayPIRE,0.0236895145662991,0.0014144319316684,0.2153964132699196,0.0640411734599099,0.0164792473414218,1.0,0.748,0.0721519567305678,0.9,0.0217084729311807,0.961,0.1122442499999999,1.0,0.023402
random,1600.0,Bayes-MAP,0.0366196485896567,0.0026301604857879,0.2841438107317935,0.076457934984781,0.0147192065077271,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0503330878920239,0.0037754860779974,0.2903741957015781,0.0805669257671291,0.0290180889218784,1.0,,,,,,,,
random,1600.0,Avg,0.0919968325497402,0.0091903929675913,0.7274846787467877,0.2604776733516589,0.0697074448674564,,,,,,,,,
