benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,random_uniform,Avg,0.2857716619424667,0.014466416877008248,0.35089999216006845,0.013025823939427411,0.26130166194246673,0.015402908383563845,4.680907889038318,0.2946306608760356,0.36983113194560097,0.009480915670760325,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,random_uniform,BayPIRE,0.03144720753732229,0.005306507913981231,0.03889038013689883,0.00614522109211008,0.02571434656209124,0.006482471044139234,0.38386197153261786,0.01021960134790146,0.11567186831972942,0.004727826136648149,1.0,0.994,0.006992058987801025,0.23473505294889332,0.0257405930212772,0.23504570539904543,0.025975105872491248,0.9970000000000001,0.004830458915396483,0.2613167499999999,0.022745558633927753,0.26003749999999987,0.02401981603801334,1.0,0.0,0.11268711002301324,0.005620282338522575,1.0,0.0,0.113527,0.0053174466251304274
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,random_uniform,Bayes-MAP,0.06808473334855605,0.006790542167791481,0.08412763102466274,0.007193335399615143,0.042293647065632115,0.010456274203439763,0.5323589703000975,0.0032270665220637935,0.17463131790996425,0.0018753640509555124,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,200.0,random_uniform,PE-Rasch,0.11836280153565688,0.014144709886636072,0.15894599702483375,0.013233748383441614,0.09090430164622776,0.014181617330399906,0.5707434859861062,0.02618563513422839,0.15950736262046075,0.007774676437054281,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,400.0,random_uniform,Avg,0.21866028265148502,0.01562768151992033,0.2757288593815654,0.01882800015373892,0.19501456836577075,0.016016494740414302,2.7222647159770452,0.3539799119339991,0.32381639161647624,0.011262316436556043,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,400.0,random_uniform,BayPIRE,0.028666822472158866,0.002062342138634274,0.035193613435784296,0.0027478886817924758,0.023026551874645796,0.0027517171424579373,0.28786513798269125,0.018439420475874314,0.08261490608344928,0.0064275622042775605,1.0,0.951,0.03247221034122013,0.1410944558661143,0.015828076347322997,0.1415373726505151,0.016131565636652873,0.9949999999999999,0.007071067811865485,0.17348099999999994,0.013729369533149635,0.174,0.013498971154211049,1.0,0.0,0.06568627358429795,0.002760947632435006,1.0,0.0,0.06638599999999997,0.0026386142196236123
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,400.0,random_uniform,Bayes-MAP,0.06323264879951332,0.0044214578996431666,0.07806691052575329,0.006743892084850444,0.03733713719109307,0.00649215842625422,0.442464349533478,0.009774395477784305,0.13506813596489087,0.004695246177457647,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,400.0,random_uniform,PE-Rasch,0.09992946228781366,0.011804794931141536,0.1359706154494507,0.01653040334186233,0.07376306415154986,0.011665305748054052,0.5205802495181485,0.05676586650097489,0.12882104600036012,0.012250344718786055,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,800.0,random_uniform,Avg,0.14285678558706963,0.0126585377776585,0.1813596233036913,0.016034911683147506,0.11995029430057833,0.012730100802270508,1.127139083649971,0.23628260321531214,0.280175397453689,0.00680713647743299,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_v0_1,800.0,random_uniform,BayPIRE,0.02609133535367979,0.0011405699998973994,0.0322266370367794,0.001479571532955114,0.019933901954713545,0.0021059610614256085,0.23467008570920206,0.007436303977852794,0.06824943910057216,0.0028411997961288703,1.0,0.836,0.0966321777555374,0.09514434853804711,0.01895622508763167,0.0953809588940115,0.01890608586139961,0.969,0.022827858224351915,0.13358499999999995,0.01280272681458482,0.1340249999999999,0.01429085274650265,1.0,0.0,0.03645435094113903,0.0016528583984633013,1.0,0.0,0.03767399999999995,0.002130283040662229
