benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.27569999480600005,0.3637485324087509,0.257899994806,5.284325687294337,0.3866836680857143,0.3257791801631744,0.11750000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.1261273096497896,0.16753673652369017,0.10297021327219398,0.6022774368726836,0.15689331870336984,0.022470597771262816,0.000825722133698474,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07731585214402138,0.09627233065931207,0.05359892871434179,0.5344562451988771,0.17451913785735784,0.3789418935448219,0.10163910468115628,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,99.03133899216914,0.00018165424777611308,-0.11402067243228185,0.39300751737189654,0.5613375495045783,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.021559625614382173,0.028394206752639633,0.011555024556209614,0.35145781595949444,0.10094648563383592,0.21643707568714027,0.04713580750486994,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1413.0,0.0,1000.0,1000.0,4.0,0.97,-0.241,0.429,3.275,1.0,0.2305818691447844,0.22997006409049608,1.0,0.25594749999999983,0.25999999999999995,1.0,0.0875585301144336,1.0,0.0879124999999999
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.2590999951980001,0.3513018576665373,0.23949999519800003,4.956795588587718,0.3773979541857143,0.3535050669855721,0.12750000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.1169412859626193,0.1514105580348525,0.09681086911755157,0.4798742465897009,0.12743399067892072,0.022974834722050096,0.0009330758702275087,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07236793140132734,0.09262122710779691,0.049388232472406424,0.5178578636428955,0.16643396097937005,0.3812409005126229,0.1025678558606197,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,99.4019394538117,0.0002199070477704167,-0.11283199486768333,0.37394419908621396,0.5726416419854023,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.021036854008255057,0.026955848900072618,0.014408007318853952,0.31381188808852795,0.08616151666938658,0.20139525135163253,0.04208199229782074,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1792.0,0.0,1000.0,1000.0,4.0,0.97,-0.252,0.349,3.436,1.0,0.1874833127779198,0.18614964438747214,1.0,0.2179249999999999,0.21999999999999997,1.0,0.08413968184672499,1.0,0.08500750000000012
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.233699995786,0.33258532100025107,0.211899995786,4.475838577669267,0.36403060781428576,0.3950938972191689,0.14250000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.09100579614203258,0.12277783997915258,0.06535772398194262,0.496763550052267,0.12036520447738551,0.022873740907646125,0.0009986057449337166,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
