experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0217500188964796,0.0017258714983903,0.3237522888888201,0.0899148257964753,0.0147490640212485,1.0,0.998,0.2057525655375522,1.0,0.0851604885471833,1.0,0.2335027499999998,1.0,0.0860175
balanced,200.0,Bayes-MAP,0.0722668658807157,0.0057095159320141,0.5208921895428726,0.1679305082076773,0.051256712228218,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1104940170452682,0.0192896239340403,0.5086264744713914,0.1326996502039842,0.0899465044763857,1.0,,,,,,,,
balanced,200.0,Avg,0.2612199951196,0.0230998215438747,4.9948585533549235,0.3777653010771429,0.2434199951196,,,,,,,,,
balanced,400.0,BayPIRE,0.0214959144657161,0.0019402163238449,0.2511356189626991,0.0710768503026049,0.0160732726644013,1.0,0.977,0.1252435363658007,1.0,0.0525348445742828,0.998,0.1597552499999999,1.0,0.0534704999999999
balanced,400.0,Bayes-MAP,0.066537073654672,0.0054221724566017,0.4277163916722291,0.1269436527983973,0.0469052140761716,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0914933917013625,0.007056737434582,0.4696599959577986,0.1155355354728178,0.0710820261842063,1.0,,,,,,,,
balanced,400.0,Avg,0.195559998752,0.014670241748083,1.9168046287948115,0.3166510403195833,0.177239998752,,,,,,,,,
balanced,800.0,BayPIRE,0.0196363007710024,0.0008323140889354,0.217471116514062,0.0641155070728969,0.0128479678004785,1.0,0.91,0.0913025775212787,1.0,0.0336192278694176,0.994,0.1301749999999999,1.0,0.0347844999999999
balanced,800.0,Bayes-MAP,0.0486864270225422,0.0018744197864617,0.3404369316234416,0.0932907237512762,0.0309920414515011,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0705974464400533,0.0053882442453403,0.3668320484758459,0.0946370259895488,0.0543660558207945,1.0,,,,,,,,
balanced,800.0,Avg,0.1332349999447999,0.0061986580320711,0.8183301364537646,0.2814572010241304,0.1163349999448,,,,,,,,,
balanced,1600.0,BayPIRE,0.0199103543402384,0.0018425429954301,0.1999816744342119,0.0612253125978157,0.0111045844731831,1.0,0.8109999999999999,0.0670390394728918,0.9,0.0204080474535882,0.982,0.1087134999999999,0.9,0.02223225
balanced,1600.0,Bayes-MAP,0.0373638111789735,0.0036961713518994,0.2785297636260668,0.0742979915802597,0.0201465740159909,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0492214484916215,0.004024061445127,0.2647390284287833,0.0770373068809333,0.0338856576205929,1.0,,,,,,,,
balanced,1600.0,Avg,0.0929475,0.009706887946768,0.7310989153264336,0.2673186383928571,0.0758075,,,,,,,,,
random,200.0,BayPIRE,0.0293479044273958,0.0076162675420751,0.3776086657444049,0.1128104082008574,0.0245228980251597,1.0,0.996,0.2278498430733168,1.0,0.1126158496321337,1.0,0.2547262499999999,1.0,0.1129827499999999
random,200.0,Bayes-MAP,0.0735891142169384,0.0080879527255278,0.5402604091561674,0.1776606750216279,0.0563889441516129,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1168864875407714,0.0160079832101551,0.561572031521475,0.1553451738388675,0.0977402754320777,1.0,,,,,,,,
random,200.0,Avg,0.2888866619507667,0.015463368963843,4.869277672334617,0.3819362196140816,0.2707466619507667,,,,,,,,,
random,400.0,BayPIRE,0.0223022571214133,0.0020496942487813,0.2723100948982157,0.0774663306400825,0.0167171843637915,1.0,0.973,0.1364460700184361,1.0,0.0653741966264549,0.997,0.1703537499999999,1.0,0.0658069999999999
random,400.0,Bayes-MAP,0.0670692024790936,0.0062302096770075,0.4458453695898449,0.1357592055587295,0.0484065589818561,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1006405878897445,0.0130964149048563,0.5062025735393995,0.1277162859025001,0.0823303327278077,1.0,,,,,,,,
random,400.0,Avg,0.2305932082844107,0.0210547362471236,2.9038698589566234,0.3381798408816224,0.2124232082844107,,,,,,,,,
random,800.0,BayPIRE,0.0209345737576543,0.0019716756558201,0.2293723484742021,0.0670569350854704,0.0147205343323512,1.0,0.8960000000000001,0.0932219687041314,1.0,0.0360964603283852,0.99,0.13056525,1.0,0.0372387499999999
random,800.0,Bayes-MAP,0.0502025853646038,0.0023334127474876,0.3524988109601311,0.098251972957685,0.0323281954477603,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0686549104800723,0.0066323734372888,0.3827346179916313,0.0962310138052779,0.0515894584079697,1.0,,,,,,,,
random,800.0,Avg,0.1452121358349487,0.0071168698851886,1.0041468375556593,0.288056005927833,0.1286367512195641,,,,,,,,,
random,1600.0,BayPIRE,0.019242348929273,0.0012571599578715,0.1988177996940996,0.0606759829590061,0.0098627708525812,1.0,0.828,0.0678086537332659,1.0,0.0217351244589318,0.98,0.1090047499999999,1.0,0.02348325
random,1600.0,Bayes-MAP,0.0371875891731268,0.0029274626078724,0.2805972402563078,0.0749008840660662,0.0204625498043711,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0515079608378864,0.0036143033331208,0.2682951206317659,0.0785383213644321,0.0353640878438065,1.0,,,,,,,,
random,1600.0,Avg,0.0959477874440934,0.0070519233733128,0.7346121670823493,0.2687030040517514,0.0790729932084014,,,,,,,,,
