benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Avg,100,100,200,10000,0.29553332860433335,0.361078470661554,0.27733332860433335,4.862063290502725,0.38432958697755104,0.39401203411399166,0.1360833333333334,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.13120494974772393,0.1686135921535595,0.1140071736523118,0.6019928092600887,0.16894396876342987,0.02628563542130148,0.0014052601697580993,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.06746055580529402,0.08318679352572397,0.04859681085838202,0.541624481363609,0.1781185735051844,0.37094527797345955,0.10007519363658098,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,96.68543152387812,0.00040113418447712865,-0.05456796946050286,0.3471738849405866,0.5778776121367365,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.021714106251570935,0.02725955501390674,0.011068346903799474,0.3805851385273374,0.11473261541703325,0.2265747526735289,0.05398212918138914,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1535.0,0.0,1000.0,1000.0,4.0,0.97,-0.282,0.457,3.187,1.0,0.2531663642721895,0.25335316077493764,1.0,0.2776474999999998,0.27999999999999997,1.0,0.11433313868595862,1.0,0.11460749999999997
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Avg,100,100,200,10000,0.2901333289063333,0.3533698031869479,0.2747333289063334,4.62812610411363,0.378713147345805,0.3924341155307983,0.13591666666666669,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.14345086691100067,0.1883472580771234,0.12439017989554904,0.6213520668081457,0.172596174483002,0.04361770178834812,0.006839113749661949,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.07633996747100712,0.08830346005056247,0.059917147842621275,0.5506964647441904,0.1825042411177076,0.3729905440730532,0.10098414380410155,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,96.92308988784245,0.005401454434610671,0.01774866248314961,0.3657663185082699,0.5632270579439705,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.02205982389142457,0.02689835503389686,0.010670727077243355,0.4016998458705028,0.12063838767020406,0.2607774690289542,0.06511290261793601,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1303.0,0.0,1000.0,1000.0,4.0,0.97,-0.127,0.48,2.82,1.0,0.2956512152032772,0.2963778024267065,1.0,0.32024499999999984,0.32,1.0,0.12232018481947343,1.0,0.12253499999999984
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Avg,100,100,200,10000,0.2892166617516667,0.3562295930804428,0.2690166617516667,4.9433710496171885,0.38088760840521546,0.37150419038021637,0.13083333333333338,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.1357749543415511,0.17581135068072495,0.11680887600691484,0.5773335416948576,0.15918746958788058,0.024637580570243137,0.0011440561169186526,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Bayes-MAP,100,100,200,10000,0.0849158771134856,0.1010273586252764,0.0681584413057695,0.5437623943943407,0.1800378151911328,0.37275618314823644,0.10137094168640277,0.02,0.85,0.91,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,96.7042577041381,0.0012570875613845214,-0.33725982400756693,0.36388037594430167,0.5613616047089145,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,BayPIRE,100,100,200,10000,0.04096562152936025,0.048016743449048514,0.03963286548675656,0.3637384810807252,0.10564699123567022,0.24453884120427824,0.05961034371667681,0.02,0.85,0.91,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1070.0,0.0,1000.0,1000.0,4.0,0.97,-0.552,0.498,2.972,1.0,0.28545615746126957,0.2857559933703553,1.0,0.30583999999999983,0.30999999999999994,1.0,0.11186460560386197,1.0,0.11381250000000004
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,3,random_uniform,Avg,100,100,200,10000,0.28996666173966673,0.35907952634580986,0.26916666173966664,5.002904198738981,0.382629360036508,0.4167160370101703,0.1474166666666667,0.02,0.87,0.85,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,3,random_uniform,PE-Rasch,100,100,200,10000,0.1190688627395244,0.16094122582725798,0.09766847164981465,0.5587104563469883,0.15538854910497693,0.024551282403997045,0.0011524619449656784,0.02,0.87,0.85,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,3,random_uniform,Bayes-MAP,100,100,200,10000,0.06956983684515673,0.08640018896094695,0.051765681723990216,0.5373074955079751,0.17660035896644033,0.3711572038272008,0.10054156254734913,0.02,0.87,0.85,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,96.5578908333695,0.002191405307687499,-0.26754806530747677,0.32044640289877474,0.5902147898614515,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,3,random_uniform,BayPIRE,100,100,200,10000,0.02460582272912672,0.03252359602177871,0.019758819626434266,0.3749219813631552,0.11275826252175056,0.2214739872887489,0.05261634932446535,0.02,0.87,0.85,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1641.0,0.0,1000.0,1000.0,4.0,0.97,-0.354,0.395,3.164,0.99,0.23298188085570504,0.2340620381946009,1.0,0.25994249999999985,0.25999999999999995,1.0,0.11772202645806151,1.0,0.11850500000000003
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,4,random_uniform,Avg,100,100,200,10000,0.30533332821433334,0.37327320256668434,0.2837333282143334,5.251359675068319,0.3935321942240363,0.37935291233668456,0.13291666666666668,0.02,0.9,0.85,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_v0_1,200.0,4,random_uniform,PE-Rasch,100,100,200,10000,0.10486974100962304,0.14259909578094962,0.08620608064841227,0.5143488784180967,0.14422684011382192,0.01886621523681158,0.000643920994335174,0.02,0.9,0.85,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
