benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Avg,0.28971999422780004,0.011963444119108487,0.3189765344765363,0.01696291583265381,0.2737199942278,0.012655591427714986,4.1124378007255284,0.30515380099813394,0.31053571013000003,0.01125974255793192,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,BayPIRE,0.0291536476747237,0.007994381433559261,0.03599049516325433,0.008626237682053013,0.02136549369086525,0.011419722522388528,0.4077178033109897,0.01890080681983045,0.12469120541673276,0.0075292288532831314,1.0,1.0,0.0,0.28132638592514647,0.050414403748360155,0.27974420274211076,0.049666168628886675,1.0,0.0,0.30495799999999984,0.04805380200589982,0.30204999999999976,0.04801978758803502,1.0,0.0,0.09080170776375217,0.005652192570049543,1.0,0.0,0.09134824999999999,0.005776814054909504
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Bayes-MAP,0.06860451207836711,0.004586690201347699,0.0814905012351594,0.0065463679363893185,0.05154923734356901,0.005108547137597956,0.4986202674427786,0.007936999549364259,0.1624760545648098,0.003727767987999768,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,PE-Rasch,0.13168562175388226,0.0203482422350897,0.17696606360664868,0.020536025601674238,0.11447255623175867,0.019873588882583046,0.6834469268344315,0.05577505516080337,0.17721428921642277,0.01355155725235287,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Avg,0.17834999735999998,0.011360971055820873,0.22230181094888532,0.011274519545618335,0.16214999736000002,0.010946967959718844,2.0273914361263072,0.14186255726073604,0.258161456665625,0.005360904660882371,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,BayPIRE,0.023414666765531535,0.002617220489889233,0.029419420196213603,0.002745268942707388,0.01488076448010282,0.00495577531451964,0.344186937420761,0.00632243508603132,0.10420682537936192,0.0018602238653013707,1.0,0.984,0.023190036174568097,0.1664853680597665,0.02698268486696789,0.16613762123490416,0.026703715159146227,0.999,0.0031622776601683764,0.19816999999999987,0.02377355971802847,0.198,0.024404006956964163,1.0,0.0,0.05637710098690265,0.0025578849807690283,1.0,0.0,0.05731499999999996,0.0026885988709528163
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Bayes-MAP,0.06340041197416747,0.002512397742512865,0.07637832484159641,0.003888967093501552,0.04495868018370811,0.003201642267176067,0.435577056377081,0.0037982640418925727,0.13655256886754574,0.0019326366177589112,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,PE-Rasch,0.11271896157959682,0.008726398689247223,0.15276453052690692,0.01306645742271271,0.09322024250569409,0.009717267630128687,0.72911819137382,0.042700721583394205,0.1633507228970083,0.008975715061534901,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,Avg,0.1214699994848,0.008956164735659772,0.14979159006905843,0.010407222915689192,0.1053099994848,0.009032804307664366,0.9282585641818173,0.0787427600434065,0.23086413009847825,0.003642498002924382,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,BayPIRE,0.021209650856236485,0.0017705872790728936,0.026869404259583805,0.0017373845975977547,0.01254105257213382,0.0033054205135113596,0.3098894427399475,0.008545534294912248,0.09585805219648416,0.0029117594696986644,1.0,0.9289999999999999,0.03541813722437195,0.10903505003330652,0.021726325124485312,0.10859873877729827,0.021353577710543158,0.9960000000000001,0.006992058987801052,0.15336649999999993,0.016844681208025267,0.153,0.018287822299126927,1.0,0.0,0.03814344170371248,0.00150918155635704,1.0,0.0,0.040111749999999974,0.001520880159096469
