experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0291536476747237,0.0079943814335592,0.4077178033109897,0.1246912054167327,0.0213654936908652,1.0,1.0,0.2813263859251464,1.0,0.0908017077637521,1.0,0.3049579999999998,1.0,0.0913482499999999
balanced,200.0,Bayes-MAP,0.0686045120783671,0.0045866902013476,0.4986202674427786,0.1624760545648098,0.051549237343569,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1316856217538822,0.0203482422350897,0.6834469268344315,0.1772142892164227,0.1144725562317586,1.0,,,,,,,,
balanced,200.0,Avg,0.2897199942278,0.0119634441191084,4.112437800725528,0.31053571013,0.2737199942278,,,,,,,,,
balanced,400.0,BayPIRE,0.0234146667655315,0.0026172204898892,0.344186937420761,0.1042068253793619,0.0148807644801028,1.0,0.984,0.1664853680597665,1.0,0.0563771009869026,0.999,0.1981699999999998,1.0,0.0573149999999999
balanced,400.0,Bayes-MAP,0.0634004119741674,0.0025123977425128,0.435577056377081,0.1365525688675457,0.0449586801837081,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.1127189615795968,0.0087263986892472,0.72911819137382,0.1633507228970083,0.093220242505694,1.0,,,,,,,,
balanced,400.0,Avg,0.1783499973599999,0.0113609710558208,2.0273914361263072,0.258161456665625,0.16214999736,,,,,,,,,
balanced,800.0,BayPIRE,0.0212096508562364,0.0017705872790728,0.3098894427399475,0.0958580521964841,0.0125410525721338,1.0,0.929,0.1090350500333065,1.0,0.0381434417037124,0.996,0.1533664999999999,1.0,0.0401117499999999
balanced,800.0,Bayes-MAP,0.0503922578627533,0.0034270615764149,0.3780155044351939,0.114374306264664,0.0327058093157358,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0885694891832041,0.0046259521330434,0.5006014861076645,0.1308802834401202,0.0729111583823993,1.0,,,,,,,,
balanced,800.0,Avg,0.1214699994848,0.0089561647356597,0.9282585641818172,0.2308641300984782,0.1053099994848,,,,,,,,,
balanced,1600.0,BayPIRE,0.0195812922196117,0.00068665371383,0.2933727545667084,0.091656002265309,0.0094322911304109,1.0,0.8400000000000001,0.0744702764581617,1.0,0.024276576616817,0.995,0.1269954999999999,1.0,0.0263525
balanced,1600.0,Bayes-MAP,0.0413076231352417,0.0022567043553306,0.3368493582142941,0.1012849606331325,0.0245919598640334,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0565063581428529,0.0031920629653612,0.3569627226433022,0.1077395983674425,0.0411499870855264,1.0,,,,,,,,
balanced,1600.0,Avg,0.0819149999916,0.0057993078985429,0.6423024774827708,0.2189006696378571,0.0663399999916,,,,,,,,,
random,200.0,BayPIRE,0.0265174851770981,0.0073212832772162,0.4244822587040951,0.1318902151715555,0.0173556596043293,1.0,0.999,0.2662406797737487,1.0,0.1103937857315228,1.0,0.2917862499999998,1.0,0.1113814999999999
random,200.0,Bayes-MAP,0.0605463500945839,0.0073723181088768,0.5038822597342181,0.1647290731323477,0.0423352122770186,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1326234793788963,0.0186071181181278,0.7449448788867464,0.189120011491952,0.1133713279472558,1.0,,,,,,,,
random,200.0,Avg,0.2565416613605666,0.0205278492263158,4.034292630362626,0.3098276688514739,0.2384916613605667,,,,,,,,,
random,400.0,BayPIRE,0.0253349119202856,0.0043220679302909,0.3520414290693948,0.1071566995225147,0.0174262966766409,1.0,0.99,0.1793656488948718,1.0,0.0698142671020132,0.999,0.2112997499999998,1.0,0.0705477499999999
random,400.0,Bayes-MAP,0.0609406029168803,0.0046148308967332,0.4438298643014377,0.1399844972772343,0.0421750160667896,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1201963692225541,0.0150223462702144,0.7477049304984972,0.1720440127495544,0.1006565695129366,1.0,,,,,,,,
random,400.0,Avg,0.2036966272615306,0.0135265252290511,2.6068240813209314,0.273902630732923,0.1863728177377211,,,,,,,,,
random,800.0,BayPIRE,0.0232075623000564,0.0039774976289169,0.3171510645824038,0.0976907405515281,0.0122642872029762,1.0,0.954,0.1318639543715984,0.9,0.041901649378912,0.996,0.1695182499999999,1.0,0.0434044999999999
random,800.0,Bayes-MAP,0.0561933650152504,0.0048912727845962,0.38877820247686,0.1188557724090795,0.0384880233640133,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0953646255239679,0.0074202633190373,0.5445314084892823,0.137168267351583,0.0789379262127845,1.0,,,,,,,,
random,800.0,Avg,0.1369881624304073,0.0083845454037554,1.1898896178198493,0.2396416182395706,0.1195136502758952,,,,,,,,,
random,1600.0,BayPIRE,0.0193630464654358,0.0010020759462533,0.2937074267002051,0.0917404498263889,0.0100062874214904,1.0,0.808,0.0682509944728134,0.9,0.0255545234855982,0.986,0.1241077499999999,1.0,0.0275437499999999
random,1600.0,Bayes-MAP,0.0399690008608861,0.0029286681897984,0.3378779859083221,0.1016035836325606,0.0238516879841934,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0571888730158814,0.0027051568191484,0.3611307154783001,0.1088576989094299,0.0423785580049444,1.0,,,,,,,,
random,1600.0,Avg,0.0830394173537398,0.0051609545046675,0.6726312206911231,0.2189084646093971,0.0668116221782,,,,,,,,,
