benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Avg,100,100,200,10000,0.23136666174666667,0.3011992636018887,0.21523332841333337,3.760130455807961,0.29833605068503405,0.38777277744881183,0.1363333333333334,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.11154961264774776,0.16179727915924766,0.09578474134937968,0.7843566627667077,0.19160236541713213,0.029946777908956702,0.0023409072893702688,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.04652980778033133,0.06218721321350112,0.02820922085381792,0.5013387824437799,0.162622694823665,0.3457214907407671,0.09540024220996206,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,88.89361225408504,0.004289947807030413,-0.9480673093381173,0.3041739821258424,0.5535830825105372,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.022361316003297,0.028284810762154677,0.016357333771870545,0.437401808731331,0.13690410995483976,0.23178740619766253,0.057630585004446386,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1566.0,0.0,1000.0,1000.0,4.0,0.97,-1.796,0.373,2.832,1.0,0.21596867784272844,0.217649747517549,1.0,0.24473999999999982,0.24024999999999908,1.0,0.11049082732374343,1.0,0.11150249999999995
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Avg,100,100,200,10000,0.24334999469600002,0.29437149958400083,0.22524999469600004,3.7189853164261604,0.29459650990136055,0.33174986079835717,0.11625000000000005,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.1691174832831997,0.2189196983322842,0.14818621451848055,0.7850149173139642,0.2042532452356047,0.03442872035291473,0.0029220173095377755,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.06871852739206843,0.08223399870277721,0.05204780058269574,0.5105421028726241,0.16876017354423895,0.3536274230359841,0.10206530871919056,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,88.07126635739795,0.0010421082295622133,-1.0975441347040047,0.3645470359290659,0.4663960676338645,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.030489317613167376,0.03820866370652411,0.009614864429042694,0.44836819536181755,0.14185023852976067,0.33831348233479597,0.09763743374078646,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,746.0,0.0,1000.0,1000.0,4.0,0.97,-1.464,0.58,1.725,1.0,0.3632926816845752,0.36429565024588473,1.0,0.3852749999999997,0.38024999999999864,1.0,0.11937300959278502,1.0,0.12001000000000003
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Avg,100,100,200,10000,0.24084999479300007,0.2924529816359547,0.225749994793,3.688493895277308,0.2934647072170068,0.3318393859750228,0.11541666666666671,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.11022791325046581,0.16262468893382268,0.09217625189994126,0.7288384336514512,0.1821824853366302,0.025828329142444584,0.0013357251073384635,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Bayes-MAP,100,100,200,10000,0.06093744474417899,0.07133075165600489,0.045561132013343955,0.5082919700880014,0.16709948328228888,0.33752019682863194,0.09457977033963395,0.02,0.85,0.91,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,86.07625310096874,0.002988147764893395,-1.076046953777995,0.34519556882396873,0.506000253075134,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,BayPIRE,100,100,200,10000,0.022209045131375258,0.027723741177636176,0.007606800926019241,0.42912051123268535,0.13414018229348199,0.2490425426971469,0.06370601190691146,0.02,0.85,0.91,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1089.0,0.0,1000.0,1000.0,4.0,0.97,-1.753,0.532,2.551,1.0,0.2875346993071831,0.28877457742122226,1.0,0.3082499999999998,0.31,1.0,0.10823199875817183,1.0,0.10912249999999984
