benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,Avg,100,102,200,10200,0.30539215137254905,0.3533698309233072,0.28499999450980396,4.911997016067199,0.360099994998,0.30498476504637595,0.11000000000000004,0.0196078431372549,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,PE-Rasch,100,102,200,10200,0.14104495932337247,0.17337758479725188,0.1173013639398364,0.5691637347252878,0.15709435267539815,0.021370208536283644,0.0006803107939205472,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,Bayes-MAP,100,102,200,10200,0.07839666279460712,0.09373933202045101,0.05731567077629533,0.5166488555749821,0.16805065453664253,0.3704999808900559,0.10017936686710752,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,96.487208012256,0.0017293135471408729,-0.505705146929402,0.40150368576205725,0.5341330340314906,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,BayPIRE,100,102,200,10200,0.03593562916850585,0.04468870913840007,0.02862096164455305,0.36361893063256967,0.10577840603097584,0.24051654336365139,0.05549627691489541,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1118.0,0.0,1000.0,1000.0,4.0,0.97,-0.975,0.54,2.909,1.0,0.29615913343629446,0.29706648086268456,1.0,0.3173970588235292,0.31874999999999976,1.0,0.09353148140373979,1.0,0.09305147058823526
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,Avg,100,102,200,10200,0.27833332882352946,0.33146679802218565,0.2557843092156863,4.229747959262354,0.344299995814,0.3742994821023705,0.135,0.0196078431372549,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,PE-Rasch,100,102,200,10200,0.10176240377695007,0.1474732395066733,0.07494629275625755,0.5444922224568208,0.137279782026692,0.023200097166269265,0.000897962334124045,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,Bayes-MAP,100,102,200,10200,0.07963077370269399,0.09681178094481872,0.05581963398068491,0.5077588801458846,0.16268560500690973,0.3798356633195557,0.10347747708060989,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,98.34689220235677,0.0009369914234144389,-0.41412119151053023,0.35352196341733827,0.5662690032434984,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,BayPIRE,100,102,200,10200,0.049061834229555276,0.05634116087493647,0.045645349358152364,0.3539116111294574,0.1025205615308895,0.20354222114210951,0.04303170536331082,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1887.0,0.0,1000.0,1000.0,4.0,0.97,-0.911,0.364,3.364,0.94,0.19514282854013085,0.19499548393319552,0.99,0.2243406862745097,0.22549019607843135,0.0,0.0871515603217689,0.0,0.08823774509803917
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,2,two_way_balanced,Avg,100,102,200,10200,0.3182352883333334,0.365440429725306,0.297058817745098,5.195143832997806,0.3690999946680001,0.2841903499295776,0.10250000000000005,0.0196078431372549,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,2,two_way_balanced,PE-Rasch,100,102,200,10200,0.14785605318812967,0.17913136502636726,0.12465440307329992,0.5629502846695927,0.15685634452455982,0.020951460114706267,0.0006713233158649229,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
