benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Avg,0.29953921028431374,0.015471434770495725,0.34654010006087654,0.014416785581073848,0.2761274455784314,0.015571149109775834,4.789658989149297,0.3778236273095131,0.35536999513760004,0.010433923937569995,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,BayPIRE,0.03324945899214955,0.006663666833170058,0.04097465062194893,0.006858184338840296,0.023597810593771397,0.009575781858380395,0.36479373000758436,0.011239201879449757,0.10630571978333551,0.003985611397785745,1.0,0.992,0.018737959096740277,0.26113278298611725,0.052291197301056073,0.2600757969095869,0.05161169006501427,0.999,0.0031622776601683716,0.28469999999999984,0.04846654938608502,0.2848406862745097,0.04924885291328941,0.9,0.31622776601683794,0.0896082659888511,0.0037754388298842554,0.9,0.31622776601683794,0.09024460784313723,0.0030593375549188943
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,Bayes-MAP,0.07832072863652483,0.004619389389453619,0.0930867070012514,0.004780793163544341,0.05099290987939723,0.006056963913941886,0.5156696870663631,0.004205920037573007,0.16789236054087184,0.0024946345192441047,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,two_way_balanced,PE-Rasch,0.13044946341239125,0.016358187110826948,0.17048877169893617,0.0117970607313747,0.10317412609387352,0.017706336768696918,0.5672398038156244,0.023529523633419508,0.1524551851659616,0.008650975448916569,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Avg,0.20110784140784316,0.014839879481709952,0.2375160803518464,0.017244225931147064,0.1798333316039216,0.013549568740134762,1.9076109969451853,0.22936996756417227,0.29167601899612244,0.00870063790212719,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,BayPIRE,0.029345257927536856,0.0031878610824434164,0.03673831592177513,0.0031022668025598088,0.02019621854711184,0.005025704745277855,0.30496243805874135,0.012965297209955548,0.08978744391809337,0.004089375326918697,1.0,0.967,0.022135943621178635,0.17611817206332053,0.025242868742788492,0.1757310790358099,0.024964156327470583,0.994,0.009660917830792967,0.20426470588235285,0.022867399128130312,0.20490196078431372,0.023768753654860357,0.9,0.31622776601683794,0.055171288711965416,0.002492893890202209,0.9,0.31622776601683794,0.05607475490196077,0.0023687818524148548
mmlu:college_physics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,Bayes-MAP,0.0682462130527912,0.005114854957064777,0.08358647788838984,0.005979454401271314,0.0437086482660525,0.00491004801768766,0.43943459800862483,0.007254196901641801,0.13498833945411956,0.003361558402847281,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,400.0,two_way_balanced,PE-Rasch,0.10760921924111755,0.01077244930236346,0.14427563930794604,0.011143138865212067,0.08218472357555491,0.012936731038320727,0.5769504324122476,0.04154202960299474,0.13834281654899722,0.008267177226350415,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,Avg,0.1315465683417647,0.007022451631361037,0.16302954531614325,0.007259510768735224,0.10696323500843137,0.007301704635744686,0.9154494051778906,0.055576038317027364,0.26158743327510636,0.0027054999073023982,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,800.0,two_way_balanced,BayPIRE,0.026581011565896418,0.001176475357391742,0.03359543807606971,0.002041341313358278,0.01918207915371788,0.0026848621743735396,0.26552242102234547,0.0051637308209326925,0.07963818301251283,0.001156293038571273,1.0,0.8470000000000001,0.08192815280611555,0.09988053342999412,0.012847442175378072,0.09985929362142479,0.012800310078161084,0.97,0.021602468994692876,0.13927132352941168,0.009397454032788249,0.14019607843137255,0.00930081664755406,0.9,0.31622776601683794,0.03504635306554975,0.0009443706216330735,1.0,0.0,0.03640612745098037,0.0010197963953884799
