experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0332494589921495,0.00666366683317,0.3647937300075843,0.1063057197833355,0.0235978105937713,1.0,0.992,0.2611327829861172,0.9,0.0896082659888511,0.999,0.2846999999999998,0.9,0.0902446078431372
balanced,200.0,Bayes-MAP,0.0783207286365248,0.0046193893894536,0.5156696870663631,0.1678923605408718,0.0509929098793972,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1304494634123912,0.0163581871108269,0.5672398038156244,0.1524551851659616,0.1031741260938735,1.0,,,,,,,,
balanced,200.0,Avg,0.2995392102843137,0.0154714347704957,4.789658989149297,0.3553699951376,0.2761274455784314,,,,,,,,,
balanced,400.0,BayPIRE,0.0293452579275368,0.0031878610824434,0.3049624380587413,0.0897874439180933,0.0201962185471118,1.0,0.967,0.1761181720633205,0.9,0.0551712887119654,0.994,0.2042647058823528,0.9,0.0560747549019607
balanced,400.0,Bayes-MAP,0.0682462130527912,0.0051148549570647,0.4394345980086248,0.1349883394541195,0.0437086482660525,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.1076092192411175,0.0107724493023634,0.5769504324122476,0.1383428165489972,0.0821847235755549,1.0,,,,,,,,
balanced,400.0,Avg,0.2011078414078431,0.0148398794817099,1.907610996945185,0.2916760189961224,0.1798333316039216,,,,,,,,,
balanced,800.0,BayPIRE,0.0265810115658964,0.0011764753573917,0.2655224210223454,0.0796381830125128,0.0191820791537178,1.0,0.8470000000000001,0.0998805334299941,0.9,0.0350463530655497,0.97,0.1392713235294116,1.0,0.0364061274509803
balanced,800.0,Bayes-MAP,0.0521212981539074,0.0020584730005035,0.3608991371196461,0.1040918602056463,0.0265404363937019,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0773805989138028,0.0062580596931856,0.4298623853767435,0.1106178723316137,0.0546972536185693,1.0,,,,,,,,
balanced,800.0,Avg,0.1315465683417647,0.007022451631361,0.9154494051778906,0.2615874332751063,0.1069632350084313,,,,,,,,,
balanced,1600.0,BayPIRE,0.0239485145837933,0.001559434081472,0.2470831101993011,0.0766991338542323,0.0143662320697495,1.0,0.8210000000000001,0.0850436494462895,0.9,0.0218512860355558,0.971,0.125661519607843,0.9,0.0239833333333333
balanced,1600.0,Bayes-MAP,0.0400842460187906,0.0018480879162313,0.3089652585667215,0.0877707798976513,0.0180562066122536,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0525698286732062,0.0021167339030855,0.3048548198933706,0.0912383443604943,0.0326243885107419,1.0,,,,,,,,
balanced,1600.0,Avg,0.089797794117647,0.0058065170183825,0.6947868168064318,0.2473191315406976,0.0683223039215686,,,,,,,,,
random,200.0,BayPIRE,0.036465024833249,0.008884063075321,0.4166554051722867,0.1292363813939016,0.0316781125129788,1.0,0.987,0.2248137328881302,1.0,0.1101257674612733,0.998,0.2521242647058822,1.0,0.1105100490196078
random,200.0,Bayes-MAP,0.0687726383598755,0.0064870656318849,0.5330343592590353,0.1761879742594393,0.0451435801488484,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1212983764292744,0.0212630415242403,0.6342433062455417,0.172070012975981,0.0949357906837868,1.0,,,,,,,,
random,200.0,Avg,0.274070457254874,0.0177447405116672,4.472038794054365,0.3487977200416082,0.2493067317646779,,,,,,,,,
random,400.0,BayPIRE,0.0287596747682003,0.0024799503910158,0.3236088553555986,0.0955331365110752,0.0206727877203399,1.0,0.96,0.1760748677953009,1.0,0.0668293919486475,0.989,0.2061911764705881,1.0,0.0678406862745097
random,400.0,Bayes-MAP,0.0643613626989629,0.0054799474296294,0.4559005203886993,0.1429144757729514,0.0401994991479466,1.0,,,,,,,,
random,400.0,PE-Rasch,0.107409498501323,0.0122388501775087,0.6033921800364618,0.1473972751778858,0.0837537842901089,1.0,,,,,,,,
random,400.0,Avg,0.2101066990530252,0.0166320051391401,2.6527600880683826,0.3058326025631561,0.1876291360278151,,,,,,,,,
random,800.0,BayPIRE,0.0275400758174739,0.0021258499759723,0.268333309751145,0.0807713343694763,0.0187348055558358,1.0,0.906,0.1240704126666063,0.9,0.0394287848221444,0.981,0.1589808823529411,1.0,0.0408497549019607
random,800.0,Bayes-MAP,0.0552588192233133,0.0037963337137215,0.3712029588852376,0.1084307252662054,0.0306646334301405,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0814961776384884,0.0051641332099231,0.4347363385205643,0.1128928084058678,0.0598182840028469,1.0,,,,,,,,
random,800.0,Avg,0.1405437709192126,0.0055337309808861,1.1384771339428972,0.2673988149692713,0.1163126961116672,,,,,,,,,
random,1600.0,BayPIRE,0.0245754393100925,0.0009913823351106,0.2458753579117203,0.0763164131389472,0.015461060686123,1.0,0.8160000000000001,0.085617672201595,0.9,0.0233751939153361,0.965,0.1277507352941175,1.0,0.0254338235294117
random,1600.0,Bayes-MAP,0.0404438839712358,0.0040556890147182,0.3111611244647186,0.0884771066001868,0.0182689433747378,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0555542500111031,0.0053627194699754,0.3055242259145058,0.0919503667058079,0.036053371078991,1.0,,,,,,,,
random,1600.0,Avg,0.0901237816870675,0.0080404822167048,0.7092200324060103,0.2478505086692693,0.0679932544638831,,,,,,,,,
