benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Avg,100,102,200,10200,0.26102940694313725,0.3304682202163652,0.2391647010607843,4.341244611105396,0.34379244900533334,0.36663225468680366,0.1266666666666667,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,PE-Rasch,100,102,200,10200,0.0955952896167455,0.13872937004584182,0.07103658645918093,0.5890536272304207,0.16353734289868216,0.021281132685992632,0.0008916634476297619,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Bayes-MAP,100,102,200,10200,0.0658660013459943,0.07988518460236423,0.04441301317609287,0.5320816446031924,0.1761816557847977,0.32721197128043633,0.08627624101680259,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,87.01215799128653,0.0018662584681117362,-0.7687802200747458,0.3226405621907523,0.5701652630989757,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,BayPIRE,100,102,200,10200,0.03264046661828953,0.041984168748942556,0.028446987622241206,0.41085647361202055,0.1276681694084835,0.17342622913251443,0.03637962261267598,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1963.0,0.0,1000.0,1000.0,4.0,0.97,-1.654,0.427,3.387,1.0,0.21268263178324331,0.21256554650664086,1.0,0.23709068627450963,0.23529411764705882,1.0,0.10671941615843589,1.0,0.10863970588235294
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Avg,100,102,200,10200,0.2638137203784314,0.3201654589207108,0.2422960733196079,4.291540971828436,0.33702839237466675,0.3511913928924113,0.12300000000000004,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,PE-Rasch,100,102,200,10200,0.11475489856877122,0.16264788845713612,0.0914282142824845,0.6860235692774024,0.18228553712846282,0.0306992154126592,0.0031234415919819416,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Bayes-MAP,100,102,200,10200,0.07507520847343158,0.08820758560062694,0.05519660640513181,0.5438015480205967,0.182343244539493,0.3407518308150613,0.09176108237109099,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,89.3183357976093,0.0008184374268131489,-0.8077396621524959,0.34914861681885406,0.5474275425458738,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,BayPIRE,100,102,200,10200,0.028593561614693872,0.037874716886124545,0.023999016036871976,0.4288577000595666,0.13598047404050229,0.2116405596964794,0.049776022108135025,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1641.0,0.0,1000.0,1000.0,4.0,0.97,-1.429,0.389,3.103,1.0,0.21738450823891026,0.2177062828113954,1.0,0.24454901960784306,0.24509803921568626,1.0,0.10924368362565523,1.0,0.1092254901960783
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Avg,100,102,200,10200,0.2474882307715686,0.3116792330230049,0.2230176425362745,4.002255455481783,0.33125084272666666,0.3926447128422245,0.1384166666666667,0.0196078431372549,0.86,0.8725490196078431,False,0,5,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,PE-Rasch,100,102,200,10200,0.11166010414170405,0.14999367685916837,0.0849289909732398,0.5659526164242022,0.1555650933051714,0.022545119514018715,0.0009239786363785704,0.0196078431372549,0.86,0.8725490196078431,False,0,5,0,7,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
